siren,nom,chef de l'exécutif,parti politique,type,regcode,url-ptf,nb-ptf,url-datagouv,nb-datagouv,id-datagouv,id-ods,pop-insee,lat,long,merge,depcode
213100449,Balma,Vincent Terrail-Novès,Les Républicains,COM,OCC-76,https://data.toulouse-metropole.fr/explore/?refine.publisher=Mairie+de+Balma,4,,,,Mairie de Balma,16140,43.609568,1.497847,ptf,31
218300093,Bandol,Jean-Paul Joseph,,COM,PAC-93,https://opendata.sictiam.fr/fr/organization/mairie-de-bandol,1,,,,,8122,43.135894,5.752869,ptf,83
215500299,Bar-le-Duc,Jacques Barbezange,,COM,GES-44,,,https://www.data.gouv.fr/fr/organizations/56b89c46c751df22549f9dea,32,56b89c46c751df22549f9dea,,16337,48.770942,5.166424,datagouv,55
211200563,Baraqueville,Jacques Barbezange,,COM,OCC-76,,,https://www.data.gouv.fr/fr/organizations/59bf94cec751df629f10513d/,1,59bf94cec751df629f10513d,,3141,44.276355,2.432449,datagouv,12
214400103,Batz-sur-Mer,Marie-Catherine Lehuédé,,COM,PDL-52,https://data.paysdelaloire.fr/explore/?disjunctive.diffuseur&disjunctive.gestionnaire&disjunctive.publisher&source=shared&sort=title&refine.publisher=Batz-sur-Mer,1,,,,Batz-sur-Mer,2974,47.277138,-2.479193,ptf,44
2.16401026E8,Bayonne,Jean-René Etchegaray,Union des démocrates et indépendants,COM,NAQ-75,https://www.bayonne.fr/information-transversale/open-data-datagouvfr,52,https://www.data.gouv.fr/fr/datasets/?sort=-created&organization=58d53c4688ee380aeea5e932,52,58d53c4688ee380aeea5e932,,51228,43.266162,-1.332837,datagouv,64.0
213400278,Beaulieu,Arnaud Moynier,,COM,OCC-76,http://data.montpellier3m.fr/datasets/commune/beaulieu,19,,,,,1778,43.728603,4.020106,ptf,34
200064699,Beaussais-sur-Mer,Eugène Caro,,COM,BRE-53,http://datarmor.cotesdarmor.fr/web/guest/donnees,2,,,,,3556,48.562682,-2.139334,ptf,22
2.16000562E8,Beauvais,Caroline Cayeux,Union pour un mouvement populaire,COM,HDF-32,,,https://www.data.gouv.fr/fr/organizations/587cebc488ee3805cb9b81a4,1,587cebc488ee3805cb9b81a4,,56425,49.433589,2.086266,datagouv,60.0
,,,Rassemblement pour la République,,,,,,,,,,,,,
215600115,Béganne,Bernard Ryo,,COM,BRE-53,https://www.opendata56.fr/explore/?refine.publisher=Ville+de+B%C3%A9ganne,2,,,,Ville de Béganne,1420,47.596024,-2.240177,ptf,56
212200042,Bégard,Vincent Clech,,COM,BRE-53,http://datarmor.cotesdarmor.fr/web/guest/donnees,3,,,,,4752,48.627606,-3.301450,ptf,22
216401059,Béguios,Didier Irigoin,,COM,NAQ-75,,,https://www.data.gouv.fr/fr/organizations/5dcd6e3d634f411cead9eeb8/,2,5dcd6e3d634f411cead9eeb8,,245,43.358627,-1.086947,datagouv,64
2.16201087E8,Berck,Bruno Cousein,,COM,HDF-32,,,https://www.data.gouv.fr/fr/organizations/5f06e7cf3a2888d20686160c/,1,5f06e7cf3a2888d20686160c,,13726,50.410885,1.581080,datagouv,62.0
212400378,Bergerac,Jonathan Prioleaud,,COM,NAQ-75,,,https://www.data.gouv.fr/fr/organizations/5dc4192f8b4c41249cc6a390/,3,5dc4192f8b4c41249cc6a390,,27419,44.853456,0.487531,datagouv,24.0
2.12500565E8,Besançon,Anne Vignot,Europe Écologie Les Verts,COM,BFC-27,https://trouver.ternum-bfc.fr/organization/commune-de-besancon,10,https://www.data.gouv.fr/fr/organizations/539a5b76a3a7293bc272836c/,10,539a5b76a3a7293bc272836c,,116676,47.242200,6.020070,ptf+datagouv,25.0
214400137,Besné,Sylvie Cauchie,,COM,PDL-52,https://data.agglo-carene.fr/explore/?refine.publisher=Besné,1,,,,Besné,2958,47.396900,-2.091820,ptf,44
213100696,Blagnac,Joseph Carles,,COM,OCC-76,https://data.toulouse-metropole.fr/explore/?sort=modified&refine.publisher=Ville+de+Blagnac,76,,,,Ville de Blagnac,22983,43.635000,1.389380,ptf,31
214100182,Blois,Marc Gricourt,Parti socialiste,COM,CVL-24,https://data.blois.agglopolys.fr/pages/accueil/,14,,,,,46086,47.588600,1.337110,ptf,41
214700312,Boé,Pascale Luguet,,COM,NAQ-75,,,https://www.data.gouv.fr/fr/organizations/596ca1ecc751df20cc2b38df,11,596ca1ecc751df20cc2b38df,,5679,44.160556,0.629444,datagouv,47
217700376,Bois-le-Roi,David Dintilhac,,COM,IDF-11,,,https://www.data.gouv.fr/fr/organizations/5e7c7ff9dfaefff40aca1f99/,3,5e7c7ff9dfaefff40aca1f99,,5876,48.477760,2.694077,datagouv,77
