"nom","type","nb_publi","ouvre_data","pop_insee","CSP_chef","age_chef","part_plus65","nb_crea_entps","flux_migration_res","part_diplomes","depenses_hab"
"Aveyron","DEP",0,0,289481,"Retraités fonct.publique (sf enseig.)",73,26.9,2423,31,5.3,1293.75573944404
"Bouches-du-Rhône","DEP",0,0,2047433,"Cadres supérieurs (secteur privé)",59,20,33069,83,11.9,1300.07683241405
"Calvados","DEP",23,1,709715,"Sans profession déclarée",66,20.7,7243,50,7.7,1019.53689444354
"Cantal","DEP",5,1,151615,"Cadres supérieurs (secteur privé)",54,27.3,860,63,4.2,1500.87776367774
"Charente","DEP",57,1,365697,"Pharmaciens",63,24.5,3129,17,5.5,1213.18990544084
"Charente-Maritime","DEP",1,1,660458,"Autres professions",68,26.6,7558,33,6.2,1200.7110722105
"Cher","DEP",0,0,315100,"Retraités des professions libérales",72,25,2168,45,5.2,1207.03448724215
"Corrèze","DEP",0,0,249707,"Agriculteurs propriétaires exploit.",54,26.7,1920,87,5.2,1252.05556259937
"Côte-d'Or","DEP",3,1,546466,"Permanents politiques",68,20.3,5709,71,9.1,1024.57105076986
"Côtes-d'Armor","DEP",133,1,618478,"Agents généraux d'assurances",68,25.2,4164,35,6,1024.9582570439
"Creuse","DEP",0,0,123500,"Autres professions libérales",54,29.5,754,87,4.2,1559.50350445344
"Dordogne","DEP",3,1,426667,"Enseignants 1er deg.-directeurs école",67,28.1,4291,33,5,1274.39994278911
"Doubs","DEP",28,1,552619,"Employés (secteur privé)",59,19.1,4920,70,7.5,975.293708395839
"Drôme","DEP",0,0,522276,"Sans profession déclarée",56,21.3,6163,7,7.3,1170.91143680736
"Eure","DEP",32,1,620046,"Permanents politiques",62,18.5,4852,76,5.6,878.218953206698
"Eure-et-Loir","DEP",29,1,445281,"Retraités salariés privés",84,19.8,3604,78,5.7,1106.26270804279
"Finistère","DEP",45,1,936432,"Sans profession déclarée",50,22.3,6930,56,7.7,937.278806181335
"Gard","DEP",31,1,757564,"Retraités agricoles",68,22.3,8941,34,7.2,1199.0251869545
"Haute-Garonne","DEP",82,1,1373626,"Médecins",73,16.3,22414,81,16.9,1188.17988025853
"Gers","DEP",19,1,197851,"Grands corps de l'état",67,26.9,1886,31,6.3,1336.27550439472
"Gironde","DEP",80,1,1595903,"Fonctionnaires de catégorie A",59,18.8,26039,24,11.3,1069.93572816769
"Hérault","DEP",34,1,1152125,"Retraités fonct.publique (sf enseig.)",75,21,19335,30,11.4,1222.10464901812
"Ille-et-Vilaine","DEP",45,1,1079333,"Fonctionnaires de catégorie A",61,17.5,10675,22,10.9,946.480854166416
"Indre","DEP",8,1,229772,"Retraités salariés privés",71,27.2,1458,37,4,1030.88799871177
"Indre-et-Loire","DEP",1,1,620671,"Fonctionnaires de catégorie A",68,21.1,6155,41,8.7,939.969561957946
"Isère","DEP",33,1,1279514,"Pharmaciens",60,17.9,15998,69,11.8,1208.84193810306
"Jura","DEP",2,1,270142,"Permanents politiques",59,22.9,2097,25,5,1126.79701627292
"Landes","DEP",0,0,418200,"Fonctionnaires de catégorie A",58,24.4,4715,64,5.5,1188.68119375897
"Loir-et-Cher","DEP",80,1,343026,"Industriels-Chefs entreprise",55,24,2596,37,5.5,1099.75330158647
"Loire","DEP",1,1,778211,"Autres retraités",71,21.8,8343,69,6,992.43372729247
"Haute-Loire","DEP",0,0,234613,"Retraités salariés privés",72,23.6,1760,42,4.7,1135.56861789415
"Loire-Atlantique","DEP",260,1,1415805,"Sans profession déclarée",63,17.8,16395,49,10.9,901.664953521142
"Loiret","DEP",41,1,691942,"Agriculteurs propriétaires exploit.",57,19.5,6177,37,7.9,961.95802941576
"Lot","DEP",4,1,179390,"Agents technique et techniciens",64,28.8,1714,31,6.2,1297.77479998885
"Lot-et-Garonne","DEP",0,0,342358,"Fonctionnaires de catégorie A",69,25.6,3060,33,5,1169.0974605822
"Lozère","DEP",0,0,80141,"Fonctionnaires de catégorie A",49,24.7,521,34,5.4,1770.41348460838
"Maine-et-Loire","DEP",88,1,833602,"Médecins",74,19.2,6733,44,6.9,848.025654748909
"Manche","DEP",50,1,516010,"Retraités des professions libérales",70,24,3292,14,4.8,1048.9671840662
"Marne","DEP",0,0,584108,"Enseignants 1er deg.-directeurs école",62,18.8,5259,8,7.4,852.911378409472
"Haute-Marne","DEP",0,0,183720,"Autres professions",45,24,1003,51,3.7,1188.076287285
"Mayenne","DEP",292,1,317742,"Avocats",62,21.4,2411,35,4.7,1075.04596757747
"Meurthe-et-Moselle","DEP",16,1,747614,"Autres cadres (secteur privé)",45,18.8,6520,57,8,990.209472388158
"Meuse","DEP",0,0,195047,"Retraités des professions libérales",73,21.6,978,54,3.8,1253.51579106574
"Morbihan","DEP",17,1,769772,"Autres professions",67,23.5,6445,35,6.4,889.427039097291
"Moselle","DEP",20,1,1064905,"Ingénieurs",67,19,8136,54,6.8,819.251328512872
