siren,nom,type,regcode,url_ptf,nb_ptf,url_datagouv,nb_datagouv,id_datagouv,id_ods,pop_insee,lat,long,merge,depcode,nom_upper,part_plus65,nb_crea_entps,flux_migration_res,niveau_vie,part_diplomes,depenses_hab
200072098,CC COMBRAILLES SIOULE ET MORGE,CC,ARA-84,http://opendata.auvergnerhonealpes.eu/7-les-donnees.htm?facet.provider[]=Communaut%C3%A9%20de%20Communes%20Manzat%20Communaut%C3%A9&from=0,3,,,,,18705,,,ptf,63,COMBRAILLES SIOULE ET MORGE,20.2,146,,22250,5.7,940.342157293957
200073344,CA DE RAMBOUILLET TERRITOIRES,CA,IDF-11,,,https://www.data.gouv.fr/fr/organizations/580e1e1388ee385e8e13e4cb,1,580e1e1388ee385e8e13e4cb,,78443,,,datagouv,78,RAMBOUILLET TERRITOIRES,18.8,903,200054781,28240,16.7,245.600463669284
200073419,CA DU PUY EN VELAY,CA,ARA-84,https://opendata.agglo-lepuyenvelay.fr/geonetwork/srv/fre/catalog.search#/search?facet.q=type%2Fdataset%26sourceCatalog%2F1c86ee62-a93b-4bf6-8f19-9e162a587920&resultType=details&sortBy=relevance&fast=index&_content_type=json&from=1&to=20,103,,,,,8915,,,ptf,43,PUY EN VELAY,24,691,246300701,20740,5.4,944.58694399308
240300491,CC DU PAYS DE LAPALISSE,CC,ARA-84,http://opendata.auvergnerhonealpes.eu/7-les-donnees.htm?facet.provider[]=Communaut%C3%A9%20de%20Communes%20du%20Pays%20de%20Lapalisse&from=0,2,,,,,8559,,,ptf,3,LAPALISSE,26.6,51,,19600,2.6,696.385732183908
240300608,CA MONTLUÇON COMMUNAUTE,CA,ARA-84,,,https://www.data.gouv.fr/fr/organizations/5ca763cd634f417b395627df/,2,5ca763cd634f417b395627df,,62414,,,datagouv,3,MONTLUCON COMMUNAUTE,,,,,,
240300756,CC PAYS DE CHEVAGNES,CC,ARA-84,http://opendata.auvergnerhonealpes.eu/7-les-donnees.htm?facet.provider[]=Communauté%20de%20Communes%20du%20Pays%20de%20Chevagnes%20en%20Sologne&from=0&q=PAYS%20DE%20CHEVAGNES,8,,,,,5287,,,ptf,3,CHEVAGNES,,,,,,
240500439,CC DU BRIANCONNAIS,CC,PAC-93,https://trouver.datasud.fr/organization/communaute-de-communes-du-brianconnais,1,,,,,20987,,,ptf,5,BRIANCONNAIS,21.3,301,,20820,8.5,833.850326261198
240600551,CA DE LA RIVIERA FRANCAISE,CA,PAC-93,,,https://www.data.gouv.fr/fr/organizations/5bb48e40634f410f9101c8e3/,0,5bb48e40634f410f9101c8e3,,71666,,,datagouv,6,RIVIERA FRANCAISE,24.3,1097,200030195,22110,7,734.462873727281
240600585,CA SOPHIA ANTIPOLIS,CA,PAC-93,https://trouver.datasud.fr/organization/communaute-dagglomeration-sophia-antipolis,3,https://www.data.gouv.fr/fr/organizations/5a71cf5fc751df19bcdb5d11/,4,5a71cf5fc751df19bcdb5d11,,175868,,,ptf+datagouv,6,SOPHIA ANTIPOLIS,23.5,3971,200030195,24160,16,877.800268551907
241200187,CA RODEZ AGGLOMERATION,CA,OCC-76,,,https://www.data.gouv.fr/fr/organizations/5bf2d970634f414ab5643cee/,2,5bf2d970634f414ab5643cee,,55345,,,datagouv,12,RODEZ,21.6,622,243100518,22170,8.1,1232.58468219253
241300417,CA ARLES CRAU CAMARGUE MONTAGNETTE,CA,PAC-93,https://trouver.datasud.fr/organization/communaute-dagglomeration-arles-crau-camargue-montagnette,17,https://www.data.gouv.fr/fr/organizations/534fff55a3a7292c64a77cde/,16,534fff55a3a7292c64a77cde,,83561,,,ptf,13,ARLES CRAU CAMARGUE MONTAGNETTE,,,,,,856.238615441508
241400415,CC COEUR COTE FLEURIE,CC,NOR-28,http://data.coeurcotefleurie.org/dataset,47,https://www.data.gouv.fr/fr/organizations/59f846d588ee380840aa2865/,47,59f846d588ee380840aa2865,,20997,,,ptf+datagouv,14,COEUR COTE FLEURIE,35.8,311,241400878,21580,7.7,1012.02568731153
241501139,CC DU PAYS DE SALERS,CC,ARA-84,http://opendata.auvergnerhonealpes.eu/7-les-donnees.htm?facet.provider[]=Communaut%C3%A9%20de%20Communes%20du%20Pays%20de%20Salers&from=0,7,,,,,8616,,,ptf,15,SALERS,33.1,33,,19240,2.8,819.605464747223
241600253,GRAND ANGOULEME,CA,NAQ-75,https://grandangouleme-data16.lacharente.fr/search?collection=Dataset,9,,,,,141498,,,ptf,16,GRAND ANGOULEME,21.8,1346,200070514,21100,7.3,
241700434,CA LA ROCHELLE,CA,NAQ-75,"https://opendata2.agglo-larochelle.fr/portail?facet.field=[%22organization%22,%22tags%22,%22theme%22,%22features%22]&rows=10&start=0&fq=organization:(communaute_dagglomeration_de_la_rochelle)",28,https://www.data.gouv.fr/fr/organizations/5ae6b61b88ee382152cd61a9/,2,5ae6b61b88ee382152cd61a9,,168692,,,ptf+datagouv,17,LA ROCHELLE,23.9,2558,200041499,22740,10.6,1077.35161497295
241700640,CA ROYAN ATLANTIQUE,CA,NAQ-75,https://data.agglo-royan.fr/dataset,8,https://www.data.gouv.fr/fr/organizations/56ab6daa88ee3859ece82d6e,8,56ab6daa88ee3859ece82d6e,,82088,,,ptf+datagouv,17,ROYAN ATLANTIQUE,38.2,969,241700434,21750,5,699.360740850655
241800507,BOURGES PLUS AGGLOMERATION,CA,CVL-24,https://data2-bourgesplus.opendata.arcgis.com,30,,,,,103304,,,ptf,18,BOURGES PLUS,22.8,894,200066330,21670,8.4,785.901371136242
242010056,CA DU PAYS AJACCIEN,CA,COR-94,https://opendata.ca-ajaccien.corsica/ouverture-des-donnees-publiques-du-pays-ajaccien/donnees/,109,https://www.data.gouv.fr/fr/organizations/5540eb53c751df7dafe96a3b,14,5540eb53c751df7dafe96a3b,,85103,,,ptf+datagouv,,PAYS AJACCIEN,21.7,1106,242000503,22160,7.3,793.882476220232
242500361,CA DU GRAND BESANCON,CA,BFC-27,https://data.grandbesancon.fr,56,https://www.data.gouv.fr/fr/organizations/59196e9088ee38471c78dac6,24,59196e9088ee38471c78dac6,,193187,,,ptf+datagouv,25,GRAND BESANCON,,,,,,1313.31607162285
243000643,NIMES METROPOLE,CA,OCC-76,https://data.nimes-metropole.fr/explore/?disjunctive.publisher&sort=explore.popularity_score,34,,,,,257788,43.768675,4.392582,ptf,30,NIMES METROPOLE,20.4,3339,243400017,19550,8,1228.22721664112
243100633,CA SICOVAL,CA,OCC-76,https://data.sicoval.fr/explore/?refine.publisher=Sicoval+-+communaut%C3%A9+d%27agglom%C3%A9ration+du+Sud-Est+toulousain,48,https://www.data.gouv.fr/fr/organizations/586b79b3c751df75b32b7154,23,586b79b3c751df75b32b7154,Sicoval - communauté d'agglomération du Sud-Est toulousain + Géoportail du Sicoval*,76777,,,ptf+datagouv,31,SICOVAL,16.7,1102,243100518,26670,24.3,1423.97608611336
243100658,CC VOLVESTRE,CC,OCC-76,https://data.laregion.fr/explore/?disjunctive.publisher&sort=modified&refine.publisher=Communaut%C3%A9+de+Communes+du+Volvestre,0,,,,Communauté de Communes du Volvestre,29757,,,ptf,31,VOLVESTRE,18.1,335,243100518,21800,6.6,
