"nom","type","nb_publi","ouvre_data","code_region","code_departement","nb_ptf","nb_datagouv","pop_insee","CSP_chef","age_chef","partis_po_chef","part_plus65","nb_crea_entps","flux_migration_res","niveau_vie","part_diplomes","depenses_hab"
"CA de Cambrai","CA",0,0,32,59,0,0,83517,NA,NA,NA,19.8,585,200030633,19910,5,622.144098207551
"CA de Castres Mazamet","CA",1,1,76,81,0,1,80588,"Avocats",62,NA,26.5,750,243100518,19560,5.7,625.199296917655
"CA de Châlons-en-Champagne","CA",15,1,44,51,0,15,82601,"Retraités de l'enseignement",76,"Union pour un mouvement populaire",18.7,594,200067213,20970,5.7,827.99606457549
"CA de Châlons-en-Champagne","CA",15,1,44,51,0,15,82601,"Retraités de l'enseignement",76,"Rassemblement pour la République",18.7,594,200067213,20970,5.7,827.99606457549
"CA de Châlons-en-Champagne","CA",18,1,44,51,18,0,82601,"Retraités de l'enseignement",76,"Union pour un mouvement populaire",18.7,594,200067213,20970,5.7,827.99606457549
"CA de Châlons-en-Champagne","CA",18,1,44,51,18,0,82601,"Retraités de l'enseignement",76,"Rassemblement pour la République",18.7,594,200067213,20970,5.7,827.99606457549
"CA de Chaumont","CA",0,0,44,52,0,0,47411,"Retraités fonct.publique (sf enseig.)",70,NA,22.6,286,NA,21010,4.9,1211.20792980532
"CA de Forbach Porte de France","CA",0,0,44,57,0,0,79237,"Retraités de l'enseignement",66,"Parti socialiste",19.9,496,200070746,19290,4.2,588.913100950314
"CA de Haguenau","CA",1,1,44,67,0,1,97095,"Industriels-Chefs entreprise",58,NA,18.1,818,246700488,22960,5.5,1046.58569359905
"CA de l'Albigeois (C2A)","CA",3,1,76,81,0,3,84680,"Administrateurs de sociétés",49,NA,24.5,1030,243100518,21220,8.2,970.766469296174
"CA de l'Auxerrois","CA",1,1,27,89,1,1,71444,"Sans profession déclarée",68,"Parti socialiste",22.8,605,242100410,21230,6.9,657.775237948603
"CA de l'Ouest Rhodanien","CA",0,0,84,69,0,0,51863,"Professeurs de faculté",74,"Mouvement démocrate",22,410,200046977,20870,3.7,748.06918091896
"CA de la Baie de Somme","CA",0,0,32,80,0,0,50842,"Sans profession déclarée",44,NA,23.4,316,200070936,19480,4.5,1103.86388891074
"CA de la Porte du Hainaut","CA",0,0,32,59,0,0,160249,"Autres retraités",75,"Parti communiste français",16.5,1202,245901160,18220,4,695.191411241256
"CA de la Provence Verte","CA",0,0,93,83,0,0,100358,"Sans profession déclarée",73,"Union pour un mouvement populaire",21.4,1440,200054807,21690,7,636.213929532274
"CA de la Région de Château-Thierry","CA",0,0,32,2,0,0,55382,"Autres cadres (secteur privé)",54,NA,19.5,397,200067213,20670,4.1,756.976559893106
