nom,nb_publi,ouvre_data,code_region,nb_ptf,nb_datagouv,population,CSP_chef,age_chef,partis_po_chef,part_plus65,niveau_vie,part_diplomes,taux_chomage,nb_crea_entps,nb_nuitees_hotels,flux_migration_res,depenses_hab,nb_etudiants,part_etudiants,niveau_rural,niveau_densite,percent_pop_rurale,region,is_big_nb_etu,feuilles_CART,is_extreme
Hérault,34,1,76,34,0,1152125,7,76,Gauche,21.4,20330,11.9,11.2,19335,3308,30,1222.10464901812,83254,7.2,2,2,21.7843738778696,Occitanie,1,4,0
Ille-et-Vilaine,45,1,53,45,25,1079333,3,61,Gauche,17.9,22230,11.3,6.4,10675,3053,22,946.480854166416,73073,6.8,4,2,44.5832823240923,Bretagne,1,4,0
Indre,8,1,24,0,8,229772,7,71,Droite,27.7,20200,4.1,7.8,1458,419,37,1030.88799871177,1843,0.8,6,3,65.2817034105898,Centre-Val de Loire,0,3,0
Indre-et-Loire,1,1,24,1,1,620671,3,69,Droite,21.4,21750,9.1,7.2,6155,1885,41,939.969561957946,32866,5.3,5,1,32.0733659415829,Centre-Val de Loire,0,2,0
Isère,33,1,84,33,48,1279514,3,60,Droite,18.2,22950,12.2,6.6,15998,2467,69,1208.84193810306,65369,5.1,4,2,34.9963844441691,Auvergne-Rhône-Alpes,1,4,0
Jura,2,1,27,2,0,270142,3,59,Droite,23.3,21700,5.2,5.7,2097,508,25,1126.79701627292,1986,0.7,6,3,61.7600385746106,Bourgogne-Franche-Comté,0,1,0
Landes,0,0,75,0,0,418200,3,58,Gauche,25,21360,5.8,7.8,4715,1129,64,1188.68119375897,2624,0.6,5,3,61.9301230912024,Nouvelle-Aquitaine,0,1,0
Loir-et-Cher,80,1,24,80,69,343026,2,55,Droite,24.7,21380,5.7,6.5,2596,981,37,1099.75330158647,3419,1,5,3,66.0831839476974,Centre-Val de Loire,0,3,0
Loire,1,1,84,0,1,778211,7,71,Droite,22.2,20770,6.3,7.9,8343,709,69,992.43372729247,29857,3.8,5,2,26.0030763934007,Auvergne-Rhône-Alpes,0,2,0
Haute-Loire,0,0,84,0,0,234613,7,72,Droite,24,20800,4.8,6.3,1760,324,42,1135.56861789415,1635,0.7,6,3,71.3889968074864,Auvergne-Rhône-Alpes,0,1,0
Loire-Atlantique,260,1,52,260,257,1415805,8,63,Gauche,18.1,22600,11.5,6.8,16395,3307,49,901.664953521142,65857,4.7,4,2,31.7251937887443,Pays de la Loire,1,4,1
Loiret,41,1,24,41,183,691942,1,57,Droite,19.9,21960,8.2,7.6,6177,1408,37,961.95802941576,20784,3,5,2,37.0513865330117,Centre-Val de Loire,0,2,0
Lot,4,1,76,0,4,179390,4,64,Gauche,29.4,20740,6.5,7.9,1714,546,31,1297.77479998885,1459,0.8,5,3,80.9591394636588,Occitanie,0,1,0
Lot-et-Garonne,0,0,75,0,0,342358,3,69,Gauche,26.1,19930,5.3,7.9,3060,394,33,1169.0974605822,3963,1.2,5,3,59.2447691122274,Nouvelle-Aquitaine,0,1,0
Lozère,0,0,76,0,0,80141,3,50,Gauche,25.2,20420,5.6,5,521,378,34,1770.41348460838,1379,1.7,6,3,85.9293102648546,Occitanie,0,1,1
Maine-et-Loire,88,1,52,88,88,833602,3,75,Droite,19.6,21110,7.3,7.4,6733,1348,44,848.025654748909,46014,5.5,3,3,55.9194745485963,Pays de la Loire,0,2,1
Manche,50,1,28,50,35,516010,7,71,Droite,24.5,20980,5.1,6,3292,1277,14,1048.9671840662,4013,0.8,5,3,67.5420571844881,Normandie,0,3,0
Marne,0,0,44,0,0,584108,4,62,Droite,19.3,21650,7.7,7.5,5259,1666,8,852.911378409472,31297,5.4,6,2,38.6541947241512,Grand Est,0,2,0
Haute-Marne,0,0,44,0,0,183720,8,45,Droite,24.5,20190,3.8,6.9,1003,301,51,1188.076287285,1095,0.6,6,3,67.2804032909635,Grand Est,0,1,0
Mayenne,292,1,52,0,292,317742,3,62,Droite,21.9,20830,4.9,5.6,2411,296,35,1075.04596757747,4624,1.5,5,3,55.8934086785502,Pays de la Loire,0,3,1
Meurthe-et-Moselle,16,1,44,16,1,747614,3,45,Gauche,19.2,21480,8.3,7.6,6520,1037,57,990.209472388158,53730,7.2,4,2,25.7222716003181,Grand Est,0,2,0
Meuse,0,0,44,0,0,195047,7,73,Droite,22.4,20590,3.9,7.3,978,240,54,1253.51579106574,1068,0.5,6,3,74.2219421136683,Grand Est,0,1,0
