siren,nom,parti_politique,type,regcode,url_ptf,nb_ptf,url_datagouv,nb_datagouv,id_datagouv,id_ods,pop_insee,lat,long,merge,depcode,nom_upper,part_plus65,nb_crea_entps,flux_migration_res,niveau_vie,part_diplomes,depenses_hab
243300316,Bordeaux Métropole,Rassemblement pour la République,MET,NAQ-75,https://opendata.bordeaux-metropole.fr/explore/?disjunctive.publisher&disjunctive.frequence&disjunctive.territoire&sort=title&refine.publisher=Bordeaux+Métropole,187,https://www.data.gouv.fr/fr/organizations/5b0d11f688ee382af4b18c95/,73,5b0d11f688ee382af4b18c95,Bordeaux Métropole,749595,,,ptf+datagouv,33,BORDEAUX MÉTROPOLE,16.3,15999,200054781,22760,16.4,1816.19012107657
243300316,Bordeaux Métropole,Union pour un mouvement populaire,MET,NAQ-75,https://opendata.bordeaux-metropole.fr/explore/?disjunctive.publisher&disjunctive.frequence&disjunctive.territoire&sort=title&refine.publisher=Bordeaux+Métropole,187,https://www.data.gouv.fr/fr/organizations/5b0d11f688ee382af4b18c95/,73,5b0d11f688ee382af4b18c95,Bordeaux Métropole,749595,,,ptf+datagouv,33,BORDEAUX MÉTROPOLE,16.3,15999,200054781,22760,16.4,1816.19012107657
243400017,Montpellier Méditerranée Métropole,Parti socialiste,MET,OCC-76,http://data.montpellier3m.fr/datasets/commune/montpellier-mediterran%C3%A9e-m%C3%A9tropole,136,,,,,465070,,,ptf,34,MONTPELLIER MÉDITERRANÉE MÉTROPOLE,16.3,10245,200054781,21100,18,1652.67902994881
243500139,Rennes Métropole,Parti socialiste,MET,BRE-53,https://data.rennesmetropole.fr/explore/?refine.publisher=Rennes+M%C3%A9tropole,108,https://www.data.gouv.fr/fr/organizations/534fffaaa3a7292c64a780dd,65,534fffaaa3a7292c64a780dd,Rennes Métropole,443192,,,ptf+datagouv,35,RENNES MÉTROPOLE,15.1,5914,200054781,23130,17.1,1838.05351664318
243700754,Tours Métropole Val de Loire,Union pour un mouvement populaire,MET,CVL-24,https://data.tours-metropole.fr/explore/?disjunctive.keyword&disjunctive.theme&sort=modified&refine.publisher=Tours+Métropole+Val+de+Loire,41,https://www.data.gouv.fr/fr/organizations/5cb6d4f78b4c4118e18f37d1/,42,5cb6d4f78b4c4118e18f37d1,Tours Métropole Val de Loire,299177,,,ptf+datagouv,37,TOURS MÉTROPOLE VAL DE LOIRE,20.4,3755,200054781,21580,12.2,906.720806578021
244400404,Nantes Métropole,Parti socialiste,MET,PDL-52,https://data.nantesmetropole.fr/explore/?refine.publisher=Nantes+Métropole,139,https://www.data.gouv.fr/fr/organizations/534fff98a3a7292c64a78012,139,534fff98a3a7292c64a78012,Nantes Métropole,638931,,,ptf+datagouv,44,NANTES MÉTROPOLE,16.1,9847,200054781,23390,16.6,1777.15077178928
244500468,Orléans Métropole,La République en marche,MET,CVL-24,https://data.orleans-metropole.fr/explore/?refine.publisher=Orl%C3%A9ans+M%C3%A9tropole,52,https://www.data.gouv.fr/fr/organizations/57ed2fe9c751df236179df72,160,57ed2fe9c751df236179df72,Orléans Métropole,282828,,,ptf+datagouv,45,ORLÉANS MÉTROPOLE,17.2,3271,200054781,22140,11.9,1499.7502147326
244900015,ANGERS LOIRE METROPOLE,Sans étiquette,CU,PDL-52,https://data.angers.fr/explore/?refine.publisher=Angers+Loire+M%C3%A9tropole,36,https://www.data.gouv.fr/fr/organizations/538346d6a3a72906c7ec5c36,115,538346d6a3a72906c7ec5c36,Angers Loire Métropole,293701,,,ptf+datagouv,49,ANGERS LOIRE METROPOLE,18.5,3322,200071553,21780,11.4,1198.58587107327
245400676,Métropole du Grand Nancy,Parti radical,MET,GES-44,http://opendata.grandnancy.eu/jeux-de-donnees/rechercher-un-jeu-de-donnees/,50,https://www.data.gouv.fr/fr/organizations/534fff65a3a7292c64a77d73,1,534fff65a3a7292c64a77d73,,256610,,,ptf+datagouv,54,MÉTROPOLE DU GRAND NANCY,17.7,3245,245400601,21320,14.8,1648.40777659026
245400676,Métropole du Grand Nancy,Union pour la démocratie française,MET,GES-44,http://opendata.grandnancy.eu/jeux-de-donnees/rechercher-un-jeu-de-donnees/,50,https://www.data.gouv.fr/fr/organizations/534fff65a3a7292c64a77d73,1,534fff65a3a7292c64a77d73,,256610,,,ptf+datagouv,54,MÉTROPOLE DU GRAND NANCY,17.7,3245,245400601,21320,14.8,1648.40777659026
245400676,Métropole du Grand Nancy,Union pour un mouvement populaire,MET,GES-44,http://opendata.grandnancy.eu/jeux-de-donnees/rechercher-un-jeu-de-donnees/,50,https://www.data.gouv.fr/fr/organizations/534fff65a3a7292c64a77d73,1,534fff65a3a7292c64a77d73,,256610,,,ptf+datagouv,54,MÉTROPOLE DU GRAND NANCY,17.7,3245,245400601,21320,14.8,1648.40777659026
245900410,Métropole européenne de Lille,Sans étiquette,MET,HDF-32,https://opendata.lillemetropole.fr/explore/?refine.publisher=MEL,162,https://www.data.gouv.fr/fr/organizations/58b69c62c751df4b175dd7a4,227,58b69c62c751df4b175dd7a4,MEL,1143572,,,ptf+datagouv,59,MÉTROPOLE EUROPÉENNE DE LILLE,14.6,16678,200054781,20730,13.6,1261.18455435004
245900428,CU DE DUNKERQUE,Dunkerque en Mouvement,CU,HDF-32,https://data.dunkerque-agglo.fr/explore/?sort=modified&refine.publisher=Communauté+urbaine+de+Dunkerque,73,https://www.data.gouv.fr/fr/organizations/5c123930634f4179b683b998/,1,5c123930634f4179b683b998,Communauté urbaine de Dunkerque,198341,,,ptf+datagouv,59,CU DE DUNKERQUE,18.6,1441,200040954,19410,5,1913.31686676733
246700488,Eurométropole de Strasbourg,Sans étiquette,MET,GES-44,https://data.strasbourg.eu/explore/?sort=modified&refine.publisher=Eurom%C3%A9tropole+de+Strasbourg,61,https://www.data.gouv.fr/fr/organizations/59d2b2dc88ee3826a73899be,14,59d2b2dc88ee3826a73899be,Eurométropole de Strasbourg,491409,,,ptf+datagouv,67,EUROMÉTROPOLE DE STRASBOURG,16.3,6942,200054781,20760,16,1888.22429376569
248300543,Métropole Toulon-Provence-Méditerranée,Démocratie libérale,MET,PAC-93,https://data.metropoletpm.fr/explore/?sort=title&refine.publisher=M%C3%A9tropole+Toulon+Provence+M%C3%A9diterran%C3%A9e,29,https://www.data.gouv.fr/fr/organizations/5b6c128d634f41593028881d/,1,5b6c128d634f41593028881d,Métropole Toulon Provence Méditerranée,431738,,,ptf+datagouv,83,MÉTROPOLE TOULON-PROVENCE-MÉDITERRANÉE,25.1,6485,200054807,21140,8.6,1368.14709522639
248300543,Métropole Toulon-Provence-Méditerranée,Les Républicains,MET,PAC-93,https://data.metropoletpm.fr/explore/?sort=title&refine.publisher=M%C3%A9tropole+Toulon+Provence+M%C3%A9diterran%C3%A9e,29,https://www.data.gouv.fr/fr/organizations/5b6c128d634f41593028881d/,1,5b6c128d634f41593028881d,Métropole Toulon Provence Méditerranée,431738,,,ptf+datagouv,83,MÉTROPOLE TOULON-PROVENCE-MÉDITERRANÉE,25.1,6485,200054807,21140,8.6,1368.14709522639
248300543,Métropole Toulon-Provence-Méditerranée,Union pour la démocratie française,MET,PAC-93,https://data.metropoletpm.fr/explore/?sort=title&refine.publisher=M%C3%A9tropole+Toulon+Provence+M%C3%A9diterran%C3%A9e,29,https://www.data.gouv.fr/fr/organizations/5b6c128d634f41593028881d/,1,5b6c128d634f41593028881d,Métropole Toulon Provence Méditerranée,431738,,,ptf+datagouv,83,MÉTROPOLE TOULON-PROVENCE-MÉDITERRANÉE,25.1,6485,200054807,21140,8.6,1368.14709522639
248300543,Métropole Toulon-Provence-Méditerranée,Union pour un mouvement populaire,MET,PAC-93,https://data.metropoletpm.fr/explore/?sort=title&refine.publisher=M%C3%A9tropole+Toulon+Provence+M%C3%A9diterran%C3%A9e,29,https://www.data.gouv.fr/fr/organizations/5b6c128d634f41593028881d/,1,5b6c128d634f41593028881d,Métropole Toulon Provence Méditerranée,431738,,,ptf+datagouv,83,MÉTROPOLE TOULON-PROVENCE-MÉDITERRANÉE,25.1,6485,200054807,21140,8.6,1368.14709522639
