nom,nom_minimise,SIREN,code_region,code_departement
"CC Jura Sud,Pays des Lacs,Petite Montagne et Région d'Orgelet",CC DU PAYS DES LACS,200090579,27,39
"CC Jura Sud,Pays des Lacs,Petite Montagne et Région d'Orgelet",CC REGION D'ORGELET,200090579,27,39
CC l'Orée de la Brie,CC L'OREE DE LA BRIE,247700644,11,"77,91"
CC La Clayette Chauffailles en Brionnais,CC LA CLAYETTE CHAUFFAILLES EN BRIONNAIS,200070548,27,71
CC La Domitienne,CC LA DOMITIENNE,243400488,76,34
CC La Grandvallière,CC LA GRANDVALLIERE,243900610,27,39
CC La Rochefoucauld - Porte du Périgord,CC LA ROCHEFOUCAULD - PORTE DU PERIGORD,200068914,75,16
CC La Septaine,CC DE LA SEPTAINE,241800374,24,18
CC Lacs et Gorges du Verdon,CC LACS ET GORGES DU VERDON,200040210,93,83
CC Larzac et Vallées,CC LARZAC ET VALLEES,241200906,76,12
CC Latitude Nord Gironde,CC LATITUDE NORD GIRONDE,243301181,75,33
CC Lauragais Revel Sorezois,CC LAURAGAIS-REVEL-SOREZOIS,243100567,76,"11,31,81"
CC Lavalette Tude Dronne,CC LAVALETTE TUDE ET DRONNE,200070282,75,16
CC Le Dourdannais en Hurepoix (CCDH),CC DOURDANNAIS EN HUREPOIX (LE),249100595,11,91
CC Le Dunois,CC DU DUNOIS,241800424,24,18
CC Le Gesnois Bilurien,CC LE GESNOIS BILURIEN,200072684,52,72
CC Le Grand Charolais,CC LE GRAND CHAROLAIS,200071884,"27,84","03,71"
CC Le Grésivaudan,CC LE GRESIVAUDAN,200018166,84,38
CC Le Tonnerrois en Bourgogne,CC LE TONNERROIS EN BOURGOGNE,200039642,27,89
CC Leff Armor Communauté,CC LEFF ARMOR COMMUNAUTE (LAC),200069086,53,22
CC Les Avant-Monts,CC LES AVANTS MONTS,200071058,76,34
CC Les Balcons du Dauphiné,CC LES BALCONS DU DAUPHINE,200068542,84,38
CC Les Bertranges,CC LES BERTRANGES,200068088,"24,27","18,58"
CC Les Portes Briardes entre Villes et Forêts,CC LES PORTES BRIARDES,200023125,11,77
CC Les Portes de l'Ile de France,CC LES PORTES DE L'ILE DE FRANCE,200071074,11,78
CC Les Trois Provinces,CC DES 3 PROVINCES,241800432,24,18
CC Les Vals du Dauphiné,CC LES VALS DU DAUPHINE,200068567,84,38
CC Les Versants d'Aime,CC LES VERSANTS D'AIME,247300817,84,73
CC Lieuvin Pays d'Auge,CC LIEUVIN PAYS D'AUGE,200066017,28,27
CC Liffré-Cormier Communauté,CC LIFFRE-CORMIER COMMUNAUTE,243500774,53,35
CC Loches Sud Touraine,CC LOCHES SUD TOURAINE,200071587,24,37
CC Lodévois et Larzac,CC LODEVOIS ET LARZAC,200017341,76,34
CC Loir-Lucé-Bercé,CC LOIR-LUCE-BERCE,200070373,52,72
CC Loire et Allier,CC LOIRE-ET-ALLIER,245801063,27,58
CC Loire et Semène,CC LOIRE ET SEMENE,244301131,84,43
CC Loire Layon Aubance,CC LOIRE LAYON AUBANCE,200071553,52,49
CC Lot et Tolzac,CC LOT-ET-TOLZAC,244701405,75,47
CC Loudéac Communauté - Bretagne Centre,CC LOUDEAC COMMUNAUTE-BRETAGNE CENTRE,200067460,53,22
CC Loue-Lison,CC LOUE LISON,200068070,27,25
CC Loué - Brûlon - Noyen,CC LOUE-BRULON-NOYEN,200040475,52,72
CC Lyon Saint Exupéry en Dauphiné,CC LYON ST EXUPERY EN DAUPHINE,243800935,84,38
CC Lyons Andelle,CC LYONS ANDELLE,200070142,28,27
CC Mâconnais - Tournugeois,CC MACONNAIS-TOURNUGEOIS,200069698,27,71
CC Mad et Moselle,CC MAD ET MOSELLE,200070738,44,"54,57"
CC Maine Cœur de Sarthe,CC MAINE COEUR DE SARTHE,200068963,52,72
CC Maine Saosnois,CC MAINE SAOSNOIS,200072676,"28,52","61,72"
CC Marche et Combraille en Aquitaine,CC MARCHE COMBRAILLE  AQUITAINE,200067593,75,23
CC Marche Occitane - Val d'Anglin,CC MARCHE OCCITANE VAL D'ANGLIN,200035137,24,36
CC Marches du Velay-Rochebaron,CC MARCHES DU VELAY-ROCHEBARON,200073427,84,43
CC Maremne Adour Côte Sud,CC ADOUR COTE SUD,244000865,75,40
CC Maurienne Galibier,CC MAURIENNE GALIBIER,247300452,84,73
CC Mayenne Communauté,CC MAYENNE COMMUNAUTE,200055887,52,53
CC Méditerranée Porte des Maures,CC MEDITERRANEE PORTE DES MAURES,200027100,93,83
CC Médoc Atlantique,CC MEDOC ATLANTIQUE,200070720,75,33
CC Médoc Cœur de Presqu'île,CC MEDOC COEUR DE PRESQU'ILE,200069995,75,33
CC Médoc Estuaire,CC MEDOC ESTUAIRE,243301447,75,33
CC Médullienne,CC MEDULLIENNE,243301389,75,33
CC Mellois-en-Poitou,CC MELLOIS EN POITOU,200069755,75,79
"CC Meurthe,Mortagne,Moselle",CC MEURTHE MORTAGNE MOSELLE,200067643,44,54
CC Meuse Rognon,CC MEUSE ROGNON,200069664,44,52
CC Mézenc-Loire-Meygal,CC MEZENC-LOIRE-MEYGAL,200073401,84,43
CC Midi Corrézien,CC MIDI CORREZIEN,200066769,75,19
CC Mirebellois et Fontenois,CC MIREBELLOIS ET FONTENOIS,200072825,27,21
CC Mond'Arverne Communauté,CC MOND'ARVERNE COMMUNAUTE,200069177,84,63
CC Mont Lozère,CC MONT LOZERE,200069128,76,"30,48"
CC Montfort Communauté,CC MONTFORT COMMUNAUTE,243500550,53,35
CC Monts d'Arrée Communauté,CC MONTS D'ARREE COMMUNAUTE,200067197,53,29
"CC Monts,Rance et Rougier",CC MONTS RANCE ET ROUGIER,200067163,76,12
CC Moret Seine et Loing,CC MORET SEINE-ET-LOING  CCMSL,247700032,11,77
CC Morvan Sommets et Grands Lacs,CC MORVAN SOMMETS ET GRANDS LACS,200067890,27,58
CC Moselle et Madon,CC MOSELLE ET MADON,245400171,44,54
CC Nebbiu - Conca d'Oro,CC NEBBIU CONCA D'ORO,200073120,94,2B
CC Neste Barousse,CC NESTE BAROUSSE,200070829,76,65
CC Nièvre et Somme,CC NIEVRE ET SOMME,200071223,32,80
CC Norge et Tille,CC NORGE ET TILLE,200069540,27,21
CC Normandie-Cabourg-Pays d'Auge,CC NORMANDIE-CABOURG-PAYS AUGE,200065563,28,14
CC Océan Marais de Monts,CC OCEAN MARAIS DE MONTS,248500258,52,85
CC Orée de Bercé - Belinois,CC OREE DE BERCEE BELINOIS,247200447,52,72
CC Orne Lorraine Confluences,CC ORNE LORRAINE CONFLUENCE,200070845,44,54
CC Osartis Marquion,CC OSARTIS - MARQUION,200044048,32,62
CC Ouche et Montagne,CC OUCHE ET MONTAGNE,200039055,27,21
CC Ouest Aveyron Communauté,CC OUEST AVEYRON COMMUNAUTE,200069383,76,"12,46"
CC Ouest Limousin,CC OUEST LIMOUSIN,200066520,75,87
CC Pasquale Paoli,CC PASQUALE PAOLI,200073138,94,2B
CC Pays d'Apt-Luberon,CC DU PAYS D APT LUBERON,200040624,93,"04,84"
CC Pays d'Évian Vallée d'Abondance,CC PAYS EVIAN VALLEE ABONDANCE,200071967,84,74
CC Pays d'Opale,CC PAYS D'OPALE,200072478,32,62
CC Pays d'Orthe et Arrigans,CC PAYS ORTHE ET ARRIGANS,200069417,75,40
CC Pays d'Uzès,CC PAYS D'UZES,200034379,76,30
CC Pays de Chantonnay,CC DU PAYS DE CHANTONNAY,248500340,52,85
CC Pays de Châteaugiron Communauté,CC PAYS DE CHATEAUGIRON COMMUNAUTE,243500659,53,35
CC Pays de Fontenay-Vendée,CC PAYS DE FONTENAY-VENDEE,200071934,52,85
CC Pays de Montereau,CC PAYS DE MONTEREAU,247700107,11,77
CC Pays de Nay,CC DU PAYS DE NAY,246401756,"75,76","64,65"
CC Pays de Nemours,CC DU PAYS DE NEMOURS,200023240,11,77
CC Pays de Nérondes,CC PAYS DE NERONDES,200007177,24,18
CC Pays de Nexon Monts de Chalus,CC PAYS DE NEXON MONTS DE CHALUS,200070506,75,87
CC Pays des Vans en Cévennes,CC PAYS DES VANS EN CEVENNES,200039832,84,07
CC Pays du Mont-Blanc,CC PAYS DU MONT-BLANC,200034882,84,74
CC Pays Forcalquier et Montagne de Lure,CC PAYS DE FORCALQUIER MONT DE LURE,240400440,93,04
CC Pays Fort Sancerrois Val de Loire,CC PAYS FORT SANCERROIS VAL DE LOIRE,200069227,24,18
CC Pays Rhin - Brisach,CC PAYS RHIN BRISACH,200066025,44,68
CC Pays Ségali Communauté,CC PAYS SEGALI COMMUNAUTE,200068831,76,12
CC Périgord-Limousin,CC PERIGORD LIMOUSIN,242400752,75,24
CC Perthois-Bocage et Der,CC PERTHOIS-BOCAGE ET DER,200042992,44,51
CC Pévèle-Carembault,CC PEVELE CAREMBAULT,200041960,32,59
CC Picardie des Châteaux,CC PICARDIE DES CHATEAUX,200071769,32,02
CC Piège Lauragais Malepère,CC PIEGE LAURAGAIS MALEPERE,200035707,76,11
CC Plaine Limagne,CC PLAINE LIMAGNE,200071199,84,63
CC Plaines et Monts de France,CC PLAINES ET MONTS ET FRANCE,200033090,11,77
CC Plateau de Caux-Doudeville-Yerville,CC PLATEAU DE CAUX-DOUDEVILLE-YERVILLE,200069847,28,76
CC Pleyben-Châteaulin-Porzay,CC PLEYBEN-CHATEAULIN-PORZAY,200067247,53,29
CC Ploërmel Communauté,CC PLOERMEL COMMUNAUTE,200066777,53,56
CC Poher communauté,CC POHER COMMUNAUTE,242900744,53,"22,29"
CC Ponthieu-Marquenterre,CC PONTHIEU-MARQUENTERRE,200070936,32,80
CC Pontivy Communauté,CC PONTIVY COMMUNAUTE,245614433,53,"22,56"
CC Porte d'Aquitaine en Pays de Serres,CC PORTE AQUITAINE EN PAYS DE SERRES,200036572,75,47
CC Porte de Drômardèche,CC PORTE DE DROMARDECHE,200040491,84,"07,26"
CC Porte de Maurienne,CC PORTE DE MAURIENNE,247300676,84,73
CC Porte du Jura,CC PORTE DU JURA,200072056,27,39
CC Porte Océane du Limousin,CC PORTE OCEANE DU LIMOUSIN,200059400,75,87
CC Portes de la Creuse en Marche,CC PORTES CREUSE EN MARCHE,200041556,75,23
CC Portes du Berry entre Loire et Val d'Aubois,CC PORTES DU BERRY ENTRE LOIRE ET VA,200011781,24,18
CC Pré-Bocage Intercom,CC PRE-BOCAGE INTERCOM,200069524,28,14
CC Presqu'île de Crozon-Aulne maritime,CC PRESQU'ILE DE CROZON-AULNE MARITIME,200066868,53,29
CC Provence Verdon,CC PROVENCE VERDON,200040202,93,83
CC Pyrénées Audoises,CC PYRENEES AUDOISES,200043776,76,11
CC Pyrénées catalanes,CC PYRENEES CATALANES,246600464,76,66
CC Pyrénées Cerdagne,CC PYRENEES CERDAGNE,246600399,76,66
CC Pyrénées Haut Garonnaises,CC PYRENEES HAUT GARONNAISES,200072635,76,31
CC Pyrénées Vallées des Gaves,CC PYRENEES VALLEES DES GAVES,200070811,76,65
CC Quercy - Bouriane,CC QUERCY BOURIANE,244600482,76,46
CC Quercy Vert-Aveyron,CC QUERCY VERT-AVEYRON,200066884,76,82
CC Questembert Communauté,CC QUESTEMBERT COMMUNAUTE,245614383,53,56
CC Rahin et Chérimont,CC RAHIN ET CHERIMONT,247000821,27,70
CC Randon - Margeride,CC RANDON MARGERIDE,200069102,76,48
"CC Région Lézignanaise,Corbières et Minervois",CC REGION LEZIGNANAISE CORBIERES MINERVO,200035863,76,11
CC Retz-en-Valois,CC RETZ EN VALOIS,200071991,32,02
CC Rhône Crussol,CC RHONE-CRUSSOL,200041366,84,07
CC Rhône Lez Provence,CC RHONE-LEZ-PROVENCE,200000628,93,84
"CC Rhony,Vistre,Vidourle",CC RHONY VISTRE VIDOURLE,243000569,76,30
CC Rives de l'Ain - Pays du Cerdon,CC RIVES AIN PAYS CERDON,200029999,84,01
CC Rives de Moselle,CC RIVES DE MOSELLE,200039949,44,57
CC Rives de Saône,CC RIVES SAONE SAINT-JEAN SEURRE,242101509,27,21
CC Roche aux Fées Communauté,ROCHE AUX FEES COMMUNAUTE,243500634,53,35
CC Roi Morvan Communauté,CC ROI MORVAN COMMUNAUTE,245614417,53,56
CC Roumois Seine,CC ROUMOIS-SEINE,200066405,28,"27,76"
CC Roussillon-Conflent,CC ROUSSILLON CONFLENT,246600415,76,66
CC Rumilly Terre de Savoie,CC RUMILLY TERRE DE SAVOIE,247400740,84,74
CC Rurales de l'Entre-deux-Mers,CC RURALES DE L'ENTRE 2 MERS,200069599,75,33
CC Saint-Flour Communauté,CC SAINT-FLOUR COMMUNAUTE,200066660,84,15
CC Saint-Marcellin Vercors Isère Communauté,CC ST MARCELLIN VERCORS ISERE,200070431,84,38
CC Saint-Pourçain Sioule Limagne,CC SAINT POURCAIN SIOULE LIMAGNE,200071389,84,03
"CC Saint Affricain,Roquefort,Sept Vallons",CC SAINT AFFRICAIN ROQUEFORT SEPT VALLON,200067155,76,12
CC Saint Cyr Mère Boitier entre Charolais et Mâconnais,CC ST CYR MERE BOITIER CHAROLAIS MACONNA,200071645,27,71
CC Saône-Beaujolais,CC SAONE BEAUJOLAIS - CCSB,200067817,84,69
CC Saône Doubs Bresse,CC SAONE DOUBS BRESSE,200040038,27,71
CC Sarlat-Périgord Noir,CC SARLAT-PERIGORD NOIR,200027217,75,24
CC Sarrebourg Moselle Sud,CC SARREBOURG-MOSELLE SUD,200068146,44,57
CC Sauer-Pechelbronn,CC SAUER PECHELBRONN CCSP,200013050,44,67
CC Sauldre et Sologne,CC SAULDRE ET SOLOGNE,200000933,24,18
CC Sausseron Impressionnistes,CC SAUSSERON IMPRESSIONNISTES,249500430,11,95
CC Seine et Aube,CC SEINE ET AUBE,200070126,44,10
CC Senlis Sud Oise,CC SENLIS SUD OISE,200066975,32,60
CC Serein et Armance,CC SEREIN ET ARMANCE,200067304,27,89
CC Serre-Ponçon,CC SERRE-PONCON,200067742,93,"04,05"
CC Serre-Ponçon Val d'Avance,CC SERRE-PONCON VAL D'AVANCE,200067320,93,"04,05"
CC Seulles Terre et Mer,CC SEULLES TERRE MER,200069516,28,14
CC Sèvre et Loire,CC SEVRE ET LOIRE (CCSL),200067866,52,44
CC Sidobre Vals et Plateaux,CC SIDOBRE VALS ET PLATEAUX,200066561,76,81
CC Somme Sud-Ouest,CC SOMME SUD OUEST,200071181,32,80
CC Spelunca-Liamone,COM COM SPELUNCA LIAMONE,200067049,94,2A
CC Sud-Hérault,CC SUD-HERAULT,200042653,76,34
CC Sud-Roussillon,CC SUD ROUSSILLON,246600282,76,66
CC Sud Alsace Largue,CC SUD ALSACE  LARGUE,200066033,44,68
CC Sud Côte Chalonnaise,CC SUD COTE CHALONNAISE,247104094,27,71
CC Sud Nivernais,CC SUD NIVERNAIS,200067700,27,58
CC Sud Retz Atlantique,CC SUD RETZ ATLANTIQUE - CCSRA,200071546,52,44
CC Sud Sarthe,CC SUD SARTHE,200073112,52,72
CC Sud Vendée Littoral,CC SUD VENDEE LITTORAL,200073260,52,85
CC Sumène - Artense,CC SUMENE ARTENSE,241501055,84,15
CC Sundgau,CC SUNDGAU,200066041,44,68
CC Tannay-Brinon-Corbigny,CC TANNAY BRINON CORBIGNY,200067692,27,58
CC Tarn-Agout,CC TARN-AGOUT,200034023,76,"31,81"
CC Terre d'Auge,CC TERRE D AUGE,241400878,28,14
CC Terre d'Eau,CC TERRE EAU,200068682,44,88
CC Terre de Camargue,CC TERRES DE CAMARGUE,243000650,76,30
CC Terre de Picardie,CC TERRE DE PICARDIE,200070928,32,80
CC Terre Lorraine du Longuyonnais,CC TERRE LORRAINE DU LONGUYONNAIS,200043693,44,54
"CC Terres-de-Montaigu,communauté de communes Montaigu-Rocheservière",CC TERRES DE MONTAIGU CCMR,200070233,52,85
CC Terres de Bresse,CC TERRES DE BRESSE,200071538,27,71
CC Terres de Chalosse,CC TERRES DE CHALOSSE,200069631,75,40
CC Terres de Perche,CC TERRES DE PERCHE,200070167,24,28
CC Terres de Saône,CC TERRES DE SAONE,200041879,27,70
CC Terres des Confluences,CC TERRES DES CONFLUENCES,200066322,76,82
CC Terres du Haut Berry,CC TERRES DU HAUT BERRY,200066330,24,18
CC Terres Touloises,CC TERRES TOULOISES,200070563,44,54
CC Territoriale Sud-Luberon,CC TERRITORIALE SUD LUBERON COTELUB,248400285,93,84
CC Terroir de Caux,CC TERROIR DE CAUX,200068534,28,76
CC Thelloise,CC THELLOISE,200067973,32,60
CC Thiérache Sambre et Oise,CC THIERACHE SAMBRE ET OISE,200071983,32,02
CC Thiers Dore et Montagne,CC THIERS DORE ET MONTAGNE,200070712,84,63
CC Thoré Montagne Noire,CC THORE MONTAGNE NOIRE,248100745,76,81
CC Tille et Venelle,CC TILLE ET VENELLE,200070910,27,21
CC Touraine-Est Vallées,CC TOURAINE EST VALLEES,200073161,24,37
CC Touraine Ouest Val de Loire,CC TOURAINE OUEST VAL DE LOIRE,200072981,24,37
CC Touraine Val de Vienne,CC TOURAINE VAL DE VIENNE,200072668,24,37
CC Touraine Vallée de l'Indre,CC TOURAINE VALLEE DE L'INDRE,200072650,24,37
CC Usses et Rhône,CC USSES ET RHONE,200070852,84,"01,74"
CC Vaison Ventoux,CC VAISON VENTOUX - COPAVO,248400335,"84,93","26,84"
CC Val-de-Cher-Controis,CC VAL DE CHER CONTROIS,200072064,24,41
CC Val 81,CC VAL-81,248100497,76,81
CC Val Briard,CC VAL BRIARD,200072874,11,77
CC Val de Charente,CC VAL DE CHARENTE,200043016,75,16
CC Val de Gâtine,CC VAL DE GATINE,200069748,75,79
CC Val de Gers,COMMUNAUTE DE COMMUNES VAL DE GERS,200072320,76,32
CC Val de Gray,CC DU VAL DE GRAY,200036549,27,70
CC Val de l'Indre - Brenne,CC VAL DE L INDRE - BRENNE,243600301,24,36
CC Val de Ligne,CC VAL DE LIGNE,240700617,84,07
CC Val de Meuse - Voie Sacrée,CC VAL DE MEUSE VOIE SACREE,200066165,44,55
CC Val de Saône Centre,CC VAL DE SAONE CENTRE,200070118,84,01
CC Val ès Dunes,CC VAL ES DUNES,200065589,28,14
CC Val Eyrieux,CC VAL'EYRIEUX,200041465,84,07
CC Val Guiers,CC VAL GUIERS,247300528,84,73
CC Val Vanoise,CC VAL VANOISE,200040798,84,73
CC Vallée de l'Hérault,CC VALLEE DE L'HERAULT,243400694,76,34
CC Vallée de l'Ubaye - Serre-Ponçon,CC VALLEE DE L'UBAYE-SERRE-PONCON,200072304,93,04
CC Vallée de la Dordogne et Forêt Bessède,CC VALLEE DGNE FORET BESSEDE,200041051,75,24
CC Vallée des Baux-Alpilles (CC VBA),CC VALLEE DES BAUX - ALPILLES,241300375,93,13
CC Vallées de l'Orne et de l'Odon,CC VALLEES ORNE ET ODON,200066728,28,14
CC Vallées et Plateau d'Ardenne,CC VALLEES ET PLATEAU ARDENNE,200067759,44,08
CC Vallons de Haute-Bretagne Communauté,CC VALLONS HAUTE BRETAGNE COMMUNAUTE,200043990,53,35
CC Vendée Grand Littoral,CC VENDEE GRAND LITTORAL,200071900,52,85
"CC Vendée,Sèvre,Autise",CC VENDEE SEVRE AUTISE,248500563,52,85
CC Ventoux Sud,CC VENTOUX SUD,200035723,"84,93","26,84"
CC Vexin Centre,CC-VEXIN-CENTRE,200035970,11,95
CC Vézère-Monédières-Millesources,CC VEZERE MONEDIERES-MILLESOURCES,200066645,75,19
CC Vienne et Gartempe,CC VIENNE ET GARTEMPE,200070043,75,86
CC Vierzon-Sologne-Berry et Villages de la Forêt,CC VIERZON SOLOGNE BERRY,200090561,24,18
CC Vierzon-Sologne-Berry et Villages de la Forêt,CC VILLAGES DE LA FORET,200090561,24,18
CC Xaintrie Val'Dordogne,CC XAINTRIE VAL'DORDOGNE,200066751,75,19
CC Yonne Nord,CC YONNE NORD,248900896,27,89
CC Yvetot Normandie,CC YVETOT NORMANDIE,247600620,28,76
Clermont Auvergne Métropole,MET CLERMONT AUVERGNE METROPOLE,246300701,84,63
CU Angers Loire Métropole,CU ANGERS LOIRE METROPOLE,244900015,52,49
CU Caen la Mer,CU CAEN LA MER,200065597,28,14
CU d'Alençon,CU D'ALENCON,246100663,"28,52","61,72"
CU d'Arras,CU ARRAS,200033579,32,62
CU de Dunkerque,CU DUNKERQUE,245900428,32,59
CU du Grand Besançon Métropole,CU GRAND BESANCON METROPOLE,242500361,27,25
CU du Grand Poitiers,CU GRAND POITIERS,200069854,75,86
CU du Grand Reims,CU DU GRAND REIMS,200067213,44,51
CU du Havre Seine Métropole,CU LE HAVRE SEINE METROPOLE,200084952,28,76
CU Grand Paris Seine et Oise,CU GPSO,200059889,11,78
CU Le Creusot Montceau-les-Mines,CU LE CREUSOT MONTCEAU-LES-MINES,247100290,27,71
CU Le Mans Métropole,CU LE MANS METROPOLE,247200132,52,72
CU Limoges Métropole,CU LIMOGES METROPOLE,248719312,75,87
CU Perpignan Méditerranée Métropole,CU PERPIGNAN MEDITERRANEE METROPOLE,200027183,76,66
Dijon Métropole,MET DIJON METROPOLE,242100410,27,21
Est Ensemble,EST ENSEMBLE T8,200057875,11,93
Eurométropole de Strasbourg,MET EUROMETROPOLE-STRASBOURG,246700488,44,67
Grand-Orly Seine Bièvre,GRAND-ORLY SEINE BIEVRE,200058014,11,94
Grand Paris - Grand Est,GRAND PARIS EST T9,200058790,11,93
Grand Paris Seine Ouest,GPSO,200057974,11,92
Grand Paris Sud Est Avenir,GRAND PARIS SUD EST AVENIR,200058006,11,94
Grenoble-Alpes-Métropole,MET GRENOBLE-ALPES-METROPOLE,200040715,84,38
Métropole d'Aix-Marseille-Provence,MET AIX MARSEILLE PROVENCE,200054807,93,"13,83,84"
Métropole de Lyon,MET DE LYON,200046977,84,69
Métropole du Grand Nancy,MET DU GRAND NANCY,245400676,44,54
Métropole du Grand Paris,METROPOLE DU GRAND PARIS,200054781,11,"75,91,92,93,94,95"
Métropole Européenne de Lille,MET MEL,245900410,32,59
Métropole Nice Côte d'Azur,METROPOLE NCA,200030195,93,06
Métropole Rouen Normandie,MET METROPOLE ROUEN NORMANDIE,200023414,28,76
Métropole Toulon-Provence-Méditerranée,MET TOULON PROVENCE MEDITERRANEE,248300543,93,83
Metz Métropole,MET METZ,200039865,44,57
Montpellier Méditerranée Métropole,MET MONTPELLIER MED,243400017,76,34
Nantes Métropole,MET NANTES METROPOLE,244400404,52,44
Orléans Métropole,MET ORLEANS,244500468,24,45
Paris-Est-Marne et Bois,PARIS-EST-MARNE ET BOIS,200057941,11,94
Paris Ouest La Défense,PARIS OUEST LA DEFENSE,200057982,11,92
Paris Terres d'Envol,PARIS TERRES D'ENVOL T7,200058097,11,93
Plaine Commune,PLAINE COMMUNE T6,200057867,11,93
Rennes Métropole,MET RENNES METROPOLE,243500139,53,35
Saint-Etienne Métropole,MET SAINT-ETIENNE METROPOLE,244200770,84,42
Toulouse Métropole,MET TOULOUSE,243100518,76,31
Tours Métropole Val de Loire,MET TOURS METROPOLE VAL DE LOIRE,243700754,24,37
Vallée Sud Grand Paris,VALLEE SUD-GRAND PARIS,200057966,11,92
,CC MONTS VALLEES OUEST CREUSE,,,
,CA SEINE EURE,,,
,CA GRAND CALAIS TERRES ET MERS,,,
,CC DU PAYS CRECOIS,,,
