nom,nom_minimise,SIREN,code_region,code_departement
CC du Nord de Mayotte,CC DU NORD DE MAYOTTE,200060465,06,976
CC du Nord Est Béarn,CC NORD EST BEARN,200067296,75,64
CC du Pays Arnay Liernais,CC PAYS ARNAY LIERNAIS,200071173,27,21
CC du Pays Beaume-Drobie,CC DU PAYS BEAUME-DROBIE,240700302,84,07
CC du Pays Bellegardien (CCPB),CC PAYS BELLEGARDIEN,240100891,84,01
CC du Pays Bigouden Sud,CC DU PAYS BIGOUDEN,242900702,53,29
CC du Pays Châtillonnais,CC PAYS CHATILLONNAIS,242101434,27,21
CC du Pays d'Alésia et de la Seine,CC PAYS ALESIA ET SEINE,242101459,27,21
CC du Pays d'Ancenis,CC PAYS D'ANCENIS (COMPA),244400552,52,"44,49"
CC du Pays d'Étain,CC ETAIN,245501242,44,55
CC du Pays d'Héricourt,CC DU PAYS D'HERICOURT,247000722,27,"25,70"
CC du Pays d'Huriel,CC DU PAYS D'HURIEL,240300657,84,03
CC du Pays d'Iroise,CC DU PAYS DE L'IROISE (CCPI),242900074,53,29
CC du Pays d'Issoudun,CC DU PAYS D ISSOUDUN,243600236,24,"18,36"
CC du Pays d'Olmes,CC DU PAYS D'OLMES,240900464,76,09
CC du Pays d'Othe,CC PAYS D'OTHE,241000447,44,10
CC du Pays d'Urfé,CC DU PAYS D'URFE,244200820,84,42
CC du Pays d'Uzerche,CC PAYS UZERCHE,241927243,75,19
CC du Pays de Barr,CC PAYS DE BARR   CCPB,200034270,44,67
CC du Pays de Bitche,CC DU PAYS DE BITCHE,200069441,44,57
CC du Pays de Bray,CC PAYS DE BRAY,246000913,32,60
CC du Pays de Château-Gontier,CC CHATEAU-GONTIER,245300447,52,53
CC du Pays de Colombey et du Sud Toulois,CC COLOMBEY ET SUD TOULOIS,245400510,44,"54,88"
CC du Pays de Conches,CC DU PAYS DE CONCHES,242700276,28,27
CC du Pays de Craon,CC DU PAYS DE CRAON,200048551,52,53
