rentrée;Rentrée universitaire;Niveau géographique;Unité géographique;regroupement;Regroupements de formations ou d’établissements;secteur;Secteur de l’établissement d’inscription;sexe;Sexe de l’étudiant;Nombre total d’étudiants inscrits;Nombre total d’étudiants inscrits hors doubles inscriptions université/CPGE (voir documentation);A des effectifs en formations de DUT;Nombre d’étudiants inscrits en DUT;A des effectifs en formations d'ingénieurs;Nombre d’étudiants inscrits dans les formations d’Ingénieur;diffusable;Données diffusables;secret;Données soumises au secret statistique;niveau_geo;Identifiant de l’unité géographique;Identifiant de la région;Identifiant de l'académie;Identifiant du département;Identifiant de l'unité urbaine
2018;2018-19;Unité urbaine;Pont-Audemer;TOTAL;Total des formations d'enseignement supérieur;PU;Établissements publics;2;Feminin;39;39;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU27303;R28;;;UU27303
2018;2018-19;Unité urbaine;Pont-Audemer;TOTAL;Total des formations d'enseignement supérieur;PR;Établissements privés;1;Masculin;24;24;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU27303;R28;;;UU27303
2018;2018-19;Unité urbaine;Vernon;TOTAL;Total des formations d'enseignement supérieur;PU;Établissements publics;2;Feminin;65;65;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU27401;R28;;;UU27401
2018;2018-19;Unité urbaine;Vernon;TOTAL;Total des formations d'enseignement supérieur;PU;Établissements publics;1;Masculin;56;56;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU27401;R28;;;UU27401
2018;2018-19;Unité urbaine;Vernon;TOTAL;Total des formations d'enseignement supérieur;PR;Établissements privés;2;Feminin;3;3;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU27401;R28;;;UU27401
2018;2018-19;Unité urbaine;Châteaudun;TOTAL;Total des formations d'enseignement supérieur;PU;Établissements publics;1;Masculin;22;22;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU28302;R24;;;UU28302
2018;2018-19;Unité urbaine;Dreux;TOTAL;Total des formations d'enseignement supérieur;PU;Établissements publics;2;Feminin;369;369;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU28401;R24;;;UU28401
2018;2018-19;Unité urbaine;Dreux;TOTAL;Total des formations d'enseignement supérieur;PU;Établissements publics;1;Masculin;135;135;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU28401;R24;;;UU28401
2018;2018-19;Unité urbaine;Châteaulin;TOTAL;Total des formations d'enseignement supérieur;PU;Établissements publics;2;Feminin;47;47;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU29204;R53;;;UU29204
2018;2018-19;Unité urbaine;Quimperlé;TOTAL;Total des formations d'enseignement supérieur;PU;Établissements publics;1;Masculin;30;30;non;;non;;oui;Données diffusables;non;Autres données;UNITE_URBAINE;UU29304;R53;;;UU29304
