Insee - Statistiques locales; ; ; ; ; 
Référentiel géographique : France par commune; ; ; ; ; 
Code;Libellé;Part des pers. âgées de 65 ans ou + 2017;Nb créations d'entreprises 2020;Flux principal de migration résidentielle 2017;Part des diplômés d'un BAC+5 ou plus dans la pop. non scolarisée de 15 ans ou + 2017
01136;Cruzilles-lès-Mépillat;15.9;9;null;3.6
01138;Culoz;19.6;28;null;3.4
01139;Curciat-Dongalon;26.8;0;null;1.2
01140;Curtafond;22.1;8;null;2.8
01141;Cuzieu;21.9;4;null;4.3
01142;Dagneux;13.3;50;null;8.2
01143;Divonne-les-Bains;15.4;100;null;27.2
01145;Dompierre-sur-Veyle;17.1;16;null;5.6
01146;Dompierre-sur-Chalaronne;11.4;3;null;6.7
01147;Domsure;21.2;3;null;3
01148;Dortan;17.3;9;null;3.8
01149;Douvres;14.2;8;null;9.2
01150;Drom;13.1;2;null;8.1
01151;Druillat;23.1;13;null;4.3
01152;Échallon;17.7;8;null;3.7
01153;Échenevex;11;23;null;30.4
01155;Évosges;18.8;0;null;0
01156;Faramans;13.2;7;null;5.5
01157;Fareins;19.3;25;null;8
01158;Farges;12.1;13;null;14.1
01159;Feillens;20.5;36;null;5.6
01160;Ferney-Voltaire;12.7;131;01313;29.2
01162;Flaxieu;21.5;0;null;8.7
01163;Foissiat;19.2;20;null;2.6
01165;Francheleins;11.2;16;null;4.7
01166;Frans;15.7;29;null;6.4
01167;Garnerans;18;4;null;4.9
01169;Genouilleux;11.5;4;null;5.6
01170;Béard-Géovreissiat;8.6;8;null;3.5
01171;Géovreisset;14.3;7;null;4.9
01173;Gex;9.7;132;null;15.6
01174;Giron;16.8;3;null;7
01175;Gorrevod;19.9;5;null;4.2
01177;Grand-Corent;27.9;1;null;7.2
01179;Grièges;20.8;10;null;4.3
01180;Grilly;17.7;11;null;24.4
01181;Groissiat;18;13;null;4.5
01183;Guéreins;16.7;20;null;3.9
01184;Hautecourt-Romanèche;20.6;0;null;4
01185;Plateau d'Hauteville;27.5;29;null;4.6
01187;Haut Valromey;25;12;null;8.1
01188;Illiat;16.8;8;null;3.4
01189;Injoux-Génissiat;13.1;7;null;6.8
01190;Innimond;29.2;1;null;7
01191;Izenave;22.4;2;null;2.4
01192;Izernore;14.2;14;null;4.4
01193;Izieu;26.6;1;null;7.3
01194;Jassans-Riottier;19.7;68;null;4.9
01195;Jasseron;20.9;12;null;7.2
01196;Jayat;14.4;8;null;2.8
01197;Journans;20.6;3;null;11.5
01198;Joyeux;11.9;4;null;8.3
01199;Jujurieux;19.4;17;null;6.3
01200;Labalme;14.5;6;null;3.3
01202;Lagnieu;19.5;57;null;5
01203;Laiz;15.5;11;null;4.8
01204;Le Poizat-Lalleyriat;15.5;5;null;6.7
01206;Lantenay;18.4;2;null;4.9
