nom,SIREN,type,code_region,code_departement
CC d'Aire-sur-l'Adour,200030435,MET,,
"CC d'Arcis,Mailly,Ramerupt",200071777,MET,44,10
CC d'Auberive Vingeanne et Montsaugeonnais,200027308,MET,44,52
CC d'Entre Bièvre et Rhône,200085751,MET,84,38
CC d'Erdre et Gesvres,244400503,MET,52,44
CC de Bayeux Intercom,241400555,MET,28,14
CC de Belle-Île-en-Mer,245600465,MET,53,56
CC de Bièvre Est,243801073,MET,84,38
CC de Blavet Bellevue Océan,245600440,MET,53,56
CC de Blaye,200023794,MET,75,33
CC de Bléré Val de Cher,243700820,MET,24,37
CC de Brioude Sud Auvergne,200085728,MET,84,43
CC de Brocéliande,243500618,MET,53,35
CC de Calvi Balagne,242020105,MET,94,
CC de Cattenom et Environs,245700695,MET,44,57
CC de Cèze Cévennes,200035129,MET,,
CC de Charente Limousine,200072049,MET,75,16
CC de Commercy - Void - Vaucouleurs,200066157,MET,44,55
CC de Damvillers Spincourt,200066173,MET,44,55
CC de Desvres-Samer,200018083,MET,32,62
CC de Domme - Villefranche du Périgord,200041440,MET,75,24
CC de Fium'orbu Castellu,200033827,MET,94,
CC de Flandre Intérieure,200040947,MET,32,59
CC de Forez-Est,200065894,MET,84,42
CC de Freyming-Merlebach,245700398,MET,44,57
CC de Gâtine et Choisilles - Pays de Racan,200073237,MET,24,37
CC de Gémozac et de la Saintonge Viticole,241700632,MET,75,17
CC de Gevrey-Chambertin et de Nuits-Saint-Georges,200070894,MET,27,21
CC de Grand Lieu,244400438,MET,52,44
"CC de Granville,Terre et Mer",200042604,MET,28,50
CC de Hanau-La Petite Pierre,200067783,MET,44,67
CC de Haute-Cornouaille,242900561,MET,53,29
CC de Haute-Tarentaise,247300254,MET,84,73
CC de l'Agglomération Migennoise,248900383,MET,27,89
CC de l'Aillantais,248900524,MET,27,89
CC de l'Aire à l'Argonne,200066140,MET,44,55
CC de l'Aire Cantilienne,246000764,MET,32,60
CC de l'Alsace Bossue,200067841,MET,44,67
CC de l'Alta Rocca,242000495,MET,94,
CC de l'Arc Mosellan,245701354,MET,44,57
CC de l'Argonne Ardennaise,240800920,MET,44,8
CC de l'Argonne Champenoise,200042703,MET,44,51
CC de l'Ernée,245300355,MET,52,53
CC de l'Est de la Somme,200070985,MET,32,
CC de l'Est Guyanais,249730052,MET,3,973
CC de l'Est Lyonnais (CCEL),246900575,MET,84,69
CC de l'Estuaire,243300811,MET,75,33
CC de l'Île-Rousse - Balagne,200073104,MET,94,
CC de l'Île d'Oléron,241700624,MET,75,17
CC de l'Île de Noirmoutier,248500191,MET,52,85
CC de l'Île de Ré,241700459,MET,75,17
CC de l'Oisans,243800745,MET,84,38
CC de l'Oise Picarde,200068005,MET,32,60
CC de l'Oriente,200015162,MET,94,
CC de l'Orvin et de l'Ardusson,241000488,MET,44,10
CC de l'Ouest Guyanais,249730037,MET,3,973
CC de l'Ouest Vosgien,200068559,MET,44,
CC de l'Oust à Brocéliande,200066785,MET,53,56
CC de l'Outre-Forêt,200040178,MET,44,67
CC de la Baie du Cotentin,200042729,MET,28,50
CC de la Basse-Zorn,246700843,MET,44,67
CC de la Beauce Loirétaine,200035764,MET,24,45
CC de la Brie Champenoise,245100888,MET,44,51
CC de la Castagniccia-Casinca,200073252,MET,94,
CC de la Champagne Conlinoise et du Pays de Sillé,200072718,MET,52,72
CC de la Champagne Picarde,240200576,MET,32,2
CC de la Châtaigneraie Cantalienne,200066678,MET,84,15
CC de la Châtre et Sainte-Sévère,243600350,MET,24,36
"CC de la Cléry,du Betz et de l'Ouanne",200067668,MET,,
CC de la Costa Verde,200034205,MET,94,
CC de la Côte d'Albâtre,200069839,MET,28,76
CC de la Côtière à Montluel,240100610,MET,84,1
CC de la Dombes,200069193,MET,84,1
CC de la Forêt,244500484,MET,24,45
CC de la Gascogne Toulousaine,200023620,MET,76,
CC de la Grande Vallée de la Marne,245100615,MET,44,51
CC de la Haute-Bigorre,246500482,MET,76,65
CC de la Haute-Saintonge,200041523,MET,75,17
CC de la Haute-Somme,200037059,MET,32,80
CC de la Haute Ariège,200066363,MET,76,9
CC de la Haute Comté,200041721,MET,27,70
CC de la Haute Vallée de Chevreuse,200033173,MET,11,78
CC de la Lomagne Gersoise,243200391,MET,76,32
CC de la Lomagne Tarn-et-Garonnaise,248200065,MET,76,82
CC de la Marche Berrichonne,200007052,MET,24,36
CC de la Matheysine,200040657,MET,84,38
CC de la Moivre à la Coole,200043438,MET,44,51
CC de la Montagne d'Ardèche,200072007,MET,84,7
CC de la Montagne Noire,200042463,MET,76,11
CC de la Mossig et du Vignoble,200068864,MET,44,67
CC de la Muse et des Raspes du Tarn,241200914,MET,76,12
CC de la Picardie Verte,246000848,MET,32,60
CC de la Piève de l'Ornano et du Taravo,200038958,MET,94,
CC de la Plaine d'Estrées,246000897,MET,32,60
CC de la Plaine de l'Ain,240100883,MET,84,1
CC de la Plaine Dijonnaise,200000925,MET,27,21
CC de la Plaine du Nord Loiret,244500542,MET,24,45
CC de la Plaine du Rhin,200041283,MET,44,67
CC de la Plaine Jurassienne,243901089,MET,27,39
CC de la Porte des Vosges Méridionales,200068377,MET,44,88
CC de la Région d'Audruicq,246200844,MET,32,62
CC de la Région de Bar-sur-Aube,241000405,MET,44,10
CC de la Région de Blain,244400453,MET,52,44
CC de la Région de Guebwiller,246800569,MET,44,68
CC de la Région de Levroux,243600293,MET,24,36
CC de la Région de Molsheim-Mutzig,246701064,MET,44,67
CC de la Région de Rambervillers,200005957,MET,44,88
CC de la Région de Suippes,200042620,MET,44,51
CC de la Save au Touch,243100781,MET,76,31
CC de la Sologne des Étangs,244100780,MET,24,41
CC de la Sologne des Rivières,244100806,MET,24,41
CC de la Station des Rousses-Haut Jura,243900354,MET,27,39
CC de la Tenarèze,243200417,MET,76,32
CC de la Terre des Deux Caps,246200380,MET,32,62
CC de la Thiérache du Centre,240200444,MET,32,2
CC de la Vallée d'Ossau,246400337,MET,75,64
CC de la Vallée de Chamonix-Mont-Blanc,200023372,MET,84,74
CC de la Vallée de Kaysersberg,246800551,MET,44,68
CC de la Vallée de l'Homme,200041168,MET,75,24
CC de la Vallée de l'Oise et des Trois Forêts,249500455,MET,11,95
CC de la Vallée de la Bruche,246700306,MET,44,67
CC de la Vallée de la Doller et du Soultzbach,246800676,MET,44,68
CC de la Vallée de la Haute-Sarthe,200035103,MET,28,61
CC de la Vallée de Munster,246800585,MET,44,68
CC de la Vallée de Saint-Amarin,246800205,MET,44,68
CC de la Vallée de Villé,246700777,MET,44,67
CC de la Vallée du Gapeau,248300410,MET,93,83
CC de la Vallée du Garon (CCVG),246900757,MET,84,69
CC de la Vallée du Lot et du Vignoble,244600433,MET,76,46
CC de la Vallée Verte,247400047,MET,84,74
CC de la Vanne et du Pays d'Othe,248900664,MET,27,89
CC de la Veyle,200070555,MET,84,1
CC de Lacq-Orthez,200039204,MET,75,64
CC de Lévézou Pareloup,241200765,MET,76,12
CC de Londinières,247600604,MET,28,76
CC de Marana-Golo,200036499,MET,94,
CC de Marcigny,247100639,MET,27,71
CC de Marie-Galante,249710047,MET,1,971
CC de Millau Grands Causses,241200567,MET,76,
CC de Mimizan,244000543,MET,75,40
CC de Mirecourt Dompaire,200068369,MET,44,88
CC de Miribel et du Plateau,240100800,MET,84,1
CC de Montaigne Montravel et Gurson,200034197,MET,75,24
CC de Montbenoît,242500320,MET,27,25
CC de Montesquieu,243301264,MET,75,33
CC de Noblat,248719361,MET,75,87
CC de Nozay,244400537,MET,52,44
CC de Parthenay-Gâtine,200041333,MET,75,79
CC de Petite-Terre,200050532,MET,6,976
CC de Petite Camargue,243000593,MET,76,30
CC de Pont-Audemer / Val de Risle,200065787,MET,28,27
CC de Portes Sud Périgord,200040889,MET,75,24
CC de Pouilly-en-Auxois/Bligny-sur-Ouche,200071207,MET,27,21
CC de Puisaye-Forterre,200067130,MET,27,
CC de Sablé-sur-Sarthe,247200090,MET,52,
CC de Saint-Méen Montauban,200038990,MET,53,35
CC de Saulieu,242101442,MET,27,21
CC de Seille et Grand Couronné,200070589,MET,44,54
CC de Sélestat,246700967,MET,44,67
CC de Sézanne-Sud Ouest Marnais,200066835,MET,44,51
CC de Thann-Cernay,200036465,MET,44,68
CC de Val'Aïgo,243100773,MET,76,31
CC de Vendeuvre-Soulaines,200066892,MET,44,10
CC de Ventadour - Egletons - Monédières,241900133,MET,75,19
CC de Vezouze en Piémont,200069433,MET,44,54
CC de Vie et Boulogne,200072882,MET,52,85
CC de Villedieu Intercom,200043354,MET,28,50
"CC de Vitry,Champagne et Der",200034718,MET,44,51
CC de Yenne,247300262,MET,84,73
CC Decazeville Communauté,200067064,MET,76,12
CC des 1000 étangs,247000854,MET,27,70
CC des 4B Sud Charente,200029734,MET,75,16
"CC des Albères,de la Côte Vermeille et de l'Illibéris",200043602,MET,76,66
CC des Aspres,246600449,MET,76,66
CC des Ballons des Hautes-Vosges,200033868,MET,44,88
CC des Baronnies en Drôme Provençale,200068229,MET,84,26
