Insee - Statistiques locales; ; ; ; ; ; 
Référentiel géographique : France par intercommunalité; ; ; ; ; ; 
Code;Libellé;Part des pers. âgées de 65 ans ou + 2017;Nb créations d'entreprises 2020;Flux principal de migration résidentielle 2017;Médiane du niveau de vie 2018;Part des diplômés d'un BAC+5 ou plus dans la pop. non scolarisée de 15 ans ou + 2017
200067163;CC Monts, Rance et Rougier;29.4;47;null;18950;3.6
200067171;CC Aubrac, Carladez et Viadène;34.7;69;null;19560;3.8
200067189;CC Creuse Sud Ouest;31.1;87;null;18680;4.3
200067197;CC Monts d'Arrée Communauté;28.3;79;null;18920;6.6
200067205;CA du Cotentin;20.7;1087;200065597;21670;5.9
200067213;CU du Grand Reims;17.1;3431;200054781;21690;10.4
200067221;CC Centre Morbihan Communauté;20.5;290;245614433;20730;3.4
200067239;CC des Luys en Béarn;19.2;255;200067254;22770;7.4
200067247;CC Pleyben-Châteaulin-Porzay;21.2;154;200068120;20980;5.3
200067254;CA Pau Béarn Pyrénées;22.2;1960;200067296;22010;12.9
200067262;CC du Haut-Béarn;25.7;257;200067254;21160;5.8
200067288;CC du Béarn des Gaves;29.8;152;200039204;20350;5.1
200067296;CC du Nord Est Béarn;19.7;293;200067254;23160;8.8
200067304;CC Serein et Armance;21.6;158;200067114;20510;2.7
200067320;CC Serre-Ponçon Val d'Avance;19.5;86;null;20800;6.1
200067346;CA Pornic Agglo Pays de Retz;23.6;701;244400404;22580;5.9
200067361;CC Grand-Figeac;28.2;392;200066371;21070;6.3
200067379;CC Côtes de Champagne et Val de Saulx;20.8;72;null;20780;2.9
200067429;CC Haut Nivernais-Val d'Yonne;31;78;null;19510;3.4
200067437;CA Provence-Alpes-Agglomération;24.9;431;200054807;20480;6.2
200067445;CC Buëch-Dévoluy;27.2;111;null;20130;6.4
200067452;CC du Guillestrois et du Queyras;22.4;130;null;20850;7.3
200067460;CC Loudéac Communauté - Bretagne Centre;24.5;290;200069409;20400;3.1
200067478;CC Comtal Lot et Truyère;28.4;163;241200187;21330;5
200067486;CC Bouzonvillois-Trois Frontières;17;130;null;23290;5
200067502;CA Saint-Avold Synergie;20.2;410;245700133;20370;4.1
200067544;CC Creuse Confluence;30.6;110;null;18960;3.6
200067551;CA Thonon Agglomération;17.6;1027;200071967;27870;9.4
200067593;CC Marche et Combraille en Aquitaine;33.2;95;null;17970;3.5
200067627;CC Billom Communauté;17.7;191;246300701;22680;7
200067635;CA Clisson Sèvre et Maine Agglo;15.9;463;244400404;23110;6.8
200067643;CC Meurthe, Mortagne, Moselle;18.9;100;null;21680;3.4
200067650;CC Houve-Pays Boulageois;17;119;null;22380;4.3
200067668;CC de la Cléry, du Betz et de l'Ouanne;24.6;160;244500203;21220;3.2
200067676;CC Canaux et Forêts en Gâtinais;25;195;244500203;21100;3.6
200067684;CA Épernay, Coteaux et Plaine de Champagne;21.3;289;200067213;22350;5.1
200067692;CC Tannay-Brinon-Corbigny;34.8;66;null;19990;4.5
200067700;CC Sud Nivernais;28.9;88;245804406;20060;2.7
200067742;CC Serre-Ponçon;25.4;218;null;21070;7.2
200067759;CC Vallées et Plateau d'Ardenne;19.3;150;200041630;19900;2.5
200067767;CC du Royans-Vercors;23.5;124;null;20560;5.2
200067783;CC de Hanau-La Petite Pierre;20.8;171;null;22320;4.3
200067791;CA Pays Foix-Varilhes;22.9;329;200066231;21280;7.2
200067817;CC Saône-Beaujolais;18.3;447;200040590;22060;5.1
200067825;CA Gap-Tallard-Durance;22.1;536;200054807;21370;8.2
200067841;CC de l'Alsace Bossue;20.8;153;null;21300;3.1
200067866;CC Sèvre et Loire;14.2;444;244400404;22740;6
200067874;CA de Haguenau;18.1;818;246700488;22960;5.5
200067882;CC Bazois Loire Morvan;35.6;95;null;18880;3.7
200067890;CC Morvan Sommets et Grands Lacs;35.2;97;null;19640;4.4
200067908;CC Amognes Cœur du Nivernais;24.9;42;null;20680;4.1
200067916;CC Cœur de Loire;30.9;173;null;20470;4.1
200067924;CC du Canton d'Erstein;18;347;246700488;23940;6.1
200067932;CA Golfe du Morbihan - Vannes Agglomération;23.4;1723;243500139;23010;9.7
200067940;CC Couserans-Pyrénées;28.5;386;null;19220;6.2
200067957;CC Haut Chemin-Pays de Pange;16.2;130;200039865;25530;8.9
200067965;CA de la Région de Compiègne et de la Basse Automne;17.4;814;200054781;22050;12.4
200067973;CC Thelloise;14.7;520;200067999;23830;5.2
200067981;CA Guingamp-Paimpol Agglomération de l'Armor à l'Argoat;27.3;448;200065928;20220;4.9
200067999;CA du Beauvaisis;17.1;861;246000848;20800;6.7
200068005;CC de l'Oise Picarde;16.6;116;200067999;20740;3.6
200068047;CA Creil Sud Oise;13;948;246000129;16870;4.3
200068070;CC Loue-Lison;21.6;217;242500361;22340;5.8
200068088;CC Les Bertranges;28.2;121;245804406;21050;4.5
200068096;CC Champsaur-Valgaudemar;25.2;148;null;20800;6.3
200068104;CA de la Provence Verte;21.4;1440;200054807;21690;7
200068112;CC du Pays de Saverne;20.4;250;246700488;22780;7.1
200068120;CA Quimper Bretagne Occidentale;19.6;938;242900314;21570;8.5
200068146;CC Sarrebourg Moselle Sud;21;287;245700950;21070;4.1
200068229;CC des Baronnies en Drôme Provençale;31.2;244;null;19430;7.2
200068278;CC Berry Loire Puisaye;26.6;101;244500211;20890;3.7
200068294;CC des Deux Vallées Vertes;22.4;95;242500361;20970;3.4
200068369;CC de Mirecourt Dompaire;20.8;113;200068757;20980;4.5
200068377;CC de la Porte des Vosges Méridionales;24.9;235;200071157;20130;4.6
200068435;CC Cœur du Perche;24;99;null;20860;5
200068443;CC Andaine - Passais;31.4;87;null;20070;3.3
200068450;CC Argentan Intercom;24.6;208;null;20110;3.8
200068468;CC des Pays de L'Aigle;23.2;177;null;19980;3.6
200068484;CC des Causses à l'Aubrac;29.4;113;null;20260;3.9
200068500;CA de Cambrai;19.8;585;200030633;19910;5
200068534;CC Terroir de Caux;18.2;244;200023414;21420;3.9
200068542;CC Les Balcons du Dauphiné;16.4;840;243800604;23350;6.3
200068559;CC de l'Ouest Vosgien;24.6;155;null;19870;3.4
200068567;CC Les Vals du Dauphiné;17.7;666;243800604;22000;5.8
200068625;CC Alpes-Provence-Verdon - Sources de Lumière;30;150;null;19490;5.6
200068641;CA Le Muretain Agglo;16.3;1557;243100518;23200;10.3
200068658;CA de Chaumont;22.6;286;null;21010;4.9
200068666;CA de Saint-Dizier Der et Blaise;22.2;312;null;19270;3.3
200068674;CA Grand Lac;21.7;1133;200069110;24390;10.1
200068682;CC Terre d'Eau;24.6;105;null;21550;3.8
200068757;CA d'Épinal;21.1;901;245400676;20590;5.4
200068765;CC du Sisteronais-Buëch;27.6;257;null;19700;5.7
200068773;CC des Vosges côté Sud Ouest;27.7;55;null;19690;2.3
200068781;CA Valence Romans Agglo;20.9;2882;200073096;21210;8.1
200068799;CC Intercom de la Vire au Noireau;23.4;269;200065597;19970;3.2
200068807;CC du Bassin Auterivain Haut-Garonnais;17.4;387;243100518;22400;8.7
200068815;CC Cœur de Garonne;19.6;391;243100518;21620;6
200068831;CC Pays Ségali Communauté;25.7;143;241200187;21090;4.8
200068856;CC des Hauts du Perche;27.9;58;null;19620;3.6
200068864;CC de la Mossig et du Vignoble;19;170;246700488;24340;7.1
200068872;CC Éguzon - Argenton - Vallée de la Creuse;29.5;112;null;19910;3.7
200068880;CC Champagne Boischauts;22.8;58;null;21040;3.1
200068914;CC La Rochefoucauld - Porte du Périgord;27.2;141;200071827;20230;3.7
200068922;CC du Confluent et des Coteaux de Prayssas;24.5;154;243300316;19700;4.6
200068930;CC Fumel Vallée du Lot;30.3;199;200023307;18980;3.6
200068948;CC Albret Communauté;28.1;181;200035459;20040;4.9
200068955;CC Anjou Loir et Sarthe;18.3;207;244900015;21060;4.5
200068963;CC Maine Cœur de Sarthe;17.9;122;247200132;22680;5.2
200068989;CA Dinan Agglomération;25.1;735;243500139;21460;5.4
200068997;CA Arlysère;20.8;720;200041010;22400;5.6
200069003;CC du Barséquanais en Champagne;22.9;97;200069250;21950;3.4
200069029;CA des Deux Baies en Montreuillois;24;528;200044030;20550;5.2
200069037;CA du Pays de Saint-Omer;17.4;654;200093201;19390;4.4
200069052;CA Grand Belfort;18.7;1076;200065647;21420;10.3
200069060;CC des Vosges du Sud;21.5;102;200069052;22910;6
200069086;CC Leff Armor Communauté;22.8;174;200069409;20960;3.8
200069094;CC Isle et Crempse-en-Périgord;29.2;158;null;19720;4.4
200069102;CC Randon - Margeride;24.5;16;null;20460;4.2
200069110;CA du Grand Chambéry;19.7;1972;200068674;23040;11.6
200069128;CC Mont Lozère;26.4;48;null;19490;4.8
200069136;CC des Cévennes au Mont Lozère;30.1;57;null;16600;8.2
200069144;CC des Hautes Terres de l'Aubrac;29.4;28;null;19450;3.6
200069151;CC Gorges Causses Cévennes;27.1;74;null;19270;6.3
200069169;CC Dômes Sancy Artense;23;81;null;20810;5.2
200069177;CC Mond'Arverne Communauté;18.9;341;246300701;24820;10
200069185;CC des Terres d'Apcher-Margeride-Aubrac;26.3;48;null;20700;4.1
200069193;CC de la Dombes;18.3;399;200046977;23600;6.2
200069227;CC Pays Fort Sancerrois Val de Loire;27.9;118;null;21710;4
200069235;CC du Haut Pays du Montreuillois;19.1;84;null;18840;3.1
200069250;CA Troyes Champagne Métropole;19.6;1821;200054781;20220;6.7
200069268;CC Aubrac Lot Causses Tarn;22.3;50;null;20920;5
200069300;CA Tarbes-Lourdes-Pyrénées;24.8;1347;243100518;20310;6.5
200069383;CC Ouest Aveyron Communauté;29.4;242;null;20130;5.2
200069391;CA de Lamballe Terre et Mer;23.3;440;200069409;21840;5
200069409;CA Saint-Brieuc Armor Agglomération;22.8;1167;243500139;21560;7.1
200069417;CC Pays d'Orthe et Arrigans;23.4;229;244000675;20870;4.6
200069425;CA Mont-Saint-Michel-Normandie;26.7;644;200042604;20410;3.6
200069433;CC de Vezouze en Piémont;24;73;null;19000;2.6
200069441;CC du Pays de Bitche;21.1;197;200070746;21870;3.4
200069458;CC des Vallées d'Auge et du Merlerault;30.1;108;null;19130;3.3
200069482;CC des Campagnes de l'Artois;18.4;207;200033579;21820;5
200069516;CC Seulles Terre et Mer;18.2;153;200065597;23030;7.4
200069524;CC Pré-Bocage Intercom;17.3;199;200065597;21150;4.6
200069532;CA Lisieux Normandie;22.4;591;200065597;19970;4.3
200069540;CC Norge et Tille;17.8;160;242100410;27530;12
200069565;CC des Lacs et Montagnes du Haut-Doubs;12.4;156;242500338;32500;7.5
200069581;CC Convergence Garonne;18.8;339;243300316;21360;5.7
200069599;CC Rurales de l'Entre-deux-Mers;21.7;127;null;20210;4.2
200069615;CC Bresse Haute Seille;24.1;157;200071116;21920;4.9
200069623;CC Champagnole Nozeroy Jura;24.3;176;null;22030;3.8
200069631;CC Terres de Chalosse;23.1;143;244000675;20870;3.7
200069649;CC Chalosse Tursan;23.7;192;null;20920;3.9
200069656;CC Cœur Haute Lande;24.3;140;null;20100;4.6
200069664;CC Meuse Rognon;26.6;46;null;20150;2.3
200069672;CC du Ternois;21.2;175;200072460;18980;3.2
200069698;CC Mâconnais - Tournugeois;25.3;128;200070308;21810;5.6
200069722;CC Interrégionale Aumale - Blangy-sur-Bresle;21.7;100;null;19980;2.1
200069730;CC des Quatre Rivières;23;200;200023414;20330;3.3
200069748;CC Val de Gâtine;22.1;138;null;20520;3.7
200069755;CC Mellois-en-Poitou;26;292;200041317;20200;4.1
200069763;CC du Haut-Poitou;17.7;316;200069854;21590;5.7
200069821;CA Fécamp Caux Littoral Agglomération;21.9;275;200084952;20480;4.1
200069839;CC de la Côte d'Albâtre;20.2;168;200069821;21180;4.7
200069847;CC Plateau de Caux-Doudeville-Yerville;16.5;138;247600620;21660;4.3
200069854;CU du Grand Poitiers;18.3;1991;200069763;21530;12.2
200069912;CC des Forêts du Perche;24.8;49;null;20810;3.3
200069953;CC des Portes Euréliennes d'Île-de-France;17.1;403;200033181;24330;7.4
200069961;CC du Grand Châteaudun;26.1;242;null;20550;3.3
200069995;CC Médoc Cœur de Presqu'île;22;294;243300316;20110;3.2
200070035;CC du Civraisien en Poitou;28.7;234;200069854;19560;3.9
200070043;CC Vienne et Gartempe;30.1;310;200069854;19610;3.7
200070068;CC Communauté Bray-Eawy;20.3;161;200023414;20520;3.6
200070092;CA du Libournais;19.9;1069;243300316;20430;5.2
200070100;CC du Val de Sully;20.6;149;244500468;22010;4.4
200070118;CC Val de Saône Centre;16.8;222;200067817;23760;5.1
200070126;CC Seine et Aube;20.5;72;null;21280;3.1
200070142;CC Lyons Andelle;19;134;200023414;21620;3.9
200070159;CC Cœur de Beauce;18.9;153;null;22030;3.4
200070167;CC Terres de Perche;23.9;90;null;20590;3
200070183;CC des Terres du Val de Loire;20.1;381;244500468;23070;6.4
200070233;CC Terres-de-Montaigu, communauté de communes Montaigu-Rocheservière;15.5;359;244400404;21890;5.1
200070282;CC Lavalette Tude Dronne;28.9;182;200071827;19090;4.4
200070290;CC Coeur du Pays Haut;19.2;149;null;20600;3.2
200070308;CA Mâconnais Beaujolais Agglomération;21.6;768;200046977;21560;7.5
200070316;CC Entre Arroux, Loire et Somme;31.4;114;null;20290;2.4
200070324;CC du Territoire de Lunéville à Baccarat;21.1;302;245400676;20070;3.8
200070332;CC des Savoir-Faire;30.7;76;null;20180;2.3
200070340;CC Haute-Maurienne Vanoise;22.8;114;null;22340;5.4
200070365;CC Corbières Salanque Méditerranée;21.6;297;200027183;18830;4.7
200070373;CC Loir-Lucé-Bercé;29.1;127;null;19860;3.2
200070407;CA Pays d'Issoire;22.2;468;246300701;21220;5.2
200070431;CC Saint-Marcellin Vercors Isère Communauté;21.5;427;200040715;21860;6.6
200070449;CC Inter-Caux-Vexin;17.9;426;200023414;24260;7.4
200070464;CC Cœur de Maurienne Arvan;23.7;148;null;22590;4.6
200070506;CC Pays de Nexon Monts de Chalus;26.9;93;248719312;20690;4.8
200070514;CA du Grand Cognac;23.4;557;200071827;21950;5.7
200070530;CC du Grand Autunois Morvan;28.1;278;null;20060;5.3
200070548;CC La Clayette Chauffailles en Brionnais;30;89;null;20320;3.3
200070555;CC de la Veyle;18.2;187;200071751;22650;3.9
200070563;CC Terres Touloises;17.4;352;245400676;21620;5.6
200070571;CC Cœur de Berry;21.6;36;null;22200;4.5
200070589;CC de Seille et Grand Couronné;16.8;150;245400676;24080;7.6
200070647;CA Bergeracoise;27.4;636;243300316;20100;5.5
200070662;CC Bretagne porte de Loire Communauté;15.1;224;243500139;21250;5.6
200070670;CC du Pays de Dol et de la Baie du Mont Saint-Michel;23.8;145;243500782;20350;3.2
200070688;CC Couesnon Marches de Bretagne;22;124;200072452;20340;3.1
200070712;CC Thiers Dore et Montagne;24.8;290;246300701;19460;4.1
200070720;CC Médoc Atlantique;30.3;473;200069995;21390;5.4
200070738;CC Mad et Moselle;18.8;173;200039865;23160;6.4
200070746;CA Sarreguemines Confluences;20.4;451;245700372;21450;4.8
200070753;CA Riom Limagne et Volcans;19.3;559;246300701;23850;9.2
200070761;CC Ambert Livradois Forez;28.7;210;null;19910;4.5
200070779;CC Brie des Rivières et Châteaux;13.9;448;247700057;25960;7
200070787;CC du Plateau de Lannemezan;28.7;157;null;20560;4.7
200070795;CC du Pays de Trie et du Magnoac;32.7;67;null;19500;4.2
200070803;CC des Coteaux du Val-d'Arros;22.8;99;null;21690;6.1
200070811;CC Pyrénées Vallées des Gaves;28.1;205;null;20970;6.4
200070829;CC Neste Barousse;32.6;79;null;20440;5
200070845;CC Orne Lorraine Confluences;20.7;333;245701271;20530;3.6
200070852;CC Usses et Rhône;14.7;204;null;27900;6.9
200070894;CC de Gevrey-Chambertin et de Nuits-Saint-Georges;19.4;261;242100410;24330;7.5
200070902;CC Auxonne Pontailler Val de Saône;19;153;242100410;21220;3.4
200070910;CC Tille et Venelle;21.1;35;null;22420;4.1
200070928;CC Terre de Picardie;16.5;87;null;19770;3.1
200070936;CC Ponthieu-Marquenterre;23.8;177;200070993;20120;3.6
200070944;CC du Vimeu;21.6;110;200070993;19660;2.2
200070951;CC du Territoire Nord Picardie;19.3;176;248000531;20910;4.5
200070969;CC Avre Luce Noye;16.6;112;248000531;22150;5.8
200070977;CC du Grand Roye;19.3;150;null;19840;3
200070985;CC de l'Est de la Somme;21.6;71;null;19290;2.5
200070993;CA de la Baie de Somme;23.4;316;200070936;19480;4.5
200071017;CC des Terres d'Auxois;24.8;137;null;21030;6.2
200071025;CC Haute-Provence-Pays de Banon;26.4;114;null;20570;8.5
200071033;CC Jabron-Lure-Vançon-Durance;22.6;48;null;21550;6.1
200071041;CC du Chaourçois et du Val d'Armance;25;63;200069250;20440;3.5
200071058;CC Les Avant-Monts;24.2;310;243400769;19890;5.5
200071066;CA de Saint-Dié-des-Vosges;23.2;591;245400676;19600;4.1
200071074;CC Les Portes de l'Ile de France;16.2;259;200059889;23780;6.2
200071082;CA Montluçon Communauté;27.1;415;246300701;20140;4.7
200071116;CA ECLA  (Espace Communautaire Lons Agglomération);25.4;299;200069615;21390;6.9
200071140;CA Moulins Communauté;24.1;399;246300701;20980;5.3
200071157;CC des Hautes-Vosges;26.8;306;200068757;20640;3.8
200071165;CA Les Sables d'Olonne Agglomération;35.4;565;248500530;22530;6.2
200071173;CC du Pays Arnay Liernais;30.1;56;null;20320;4.4
200071181;CC Somme Sud-Ouest;20.2;217;248000531;21050;4.3
200071199;CC Plaine Limagne;20.5;124;200070753;21540;4.7
200071207;CC de Pouilly-en-Auxois/Bligny-sur-Ouche;24.4;74;null;21770;5.8
200071215;CC Chavanon Combrailles et Volcans;27.8;84;null;19650;3
200071223;CC Nièvre et Somme;18.5;177;248000531;20600;3.5
200071298;CC des Terres du Lauragais;15.7;453;243100518;23920;12.9
200071314;CC des Hauts Tolosans;13.9;413;243100518;23770;10.7
200071363;CA Vichy Communauté;28.5;737;246300701;20580;5.9
200071371;CC Bresse et Saône;19.9;210;200070308;22390;4
200071389;CC Saint-Pourçain Sioule Limagne;25.4;236;200071363;20450;4.8
200071405;CC Ardèche Rhône Coiron;18.3;235;200040459;20840;4.8
200071413;CA Privas Centre Ardèche;23.1;369;200068781;20820;5.5
200071454;CA Evreux Portes de Normandie;17.3;1052;200023414;21340;6.7
200071470;CC Entr'Allier Besbre et Loire;27.4;129;200071140;19500;3
200071496;CC du Bocage Bourbonnais;28;84;null;19900;4.2
200071504;CC des Collines du Perche Normand;26.1;94;null;20690;3.6
200071512;CC Commentry Montmarault Néris Communauté;26.4;135;200071082;20280;3.5
200071520;CC Domfront Tinchebray Interco;26;92;200035814;19840;3.3
200071538;CC Terres de Bresse;23.1;171;200071579;21290;3.5
200071546;CC Sud Retz Atlantique;18.2;171;244400404;20700;3.6
200071553;CC Loire Layon Aubance;18.5;392;244900015;22300;7.4
200071579;CC Bresse Louhannaise Intercom';27.3;224;null;20390;2.7
200071587;CC Loches Sud Touraine;26.9;395;243700754;20520;4.2
200071595;CC Arbois, Poligny, Salins, Cœur du Jura;25.7;166;null;21320;5.5
200071629;CC Challans-Gois Communauté;25.3;371;244400404;20930;3.2
200071645;CC Saint Cyr Mère Boitier entre Charolais et Mâconnais;24.5;69;null;21070;6.2
200071652;CC du Pays Fertois et du Bocage Carrougien;24.2;25;null;20100;3.6
200071678;CA du Choletais;20.4;758;200060010;21090;5
200071751;CA du Bassin de Bourg-en-Bresse;20.7;1353;200046977;22220;6
200071769;CC Picardie des Châteaux;18.7;102;null;20390;3.3
200071777;CC d'Arcis, Mailly, Ramerupt;21.3;68;200069250;21040;2.7
200071785;CA Chauny-Tergnier-La Fère;20.1;338;200071892;19070;3
200071819;CC du Périgord Nontronnais;34.2;163;null;19180;4
200071827;CA du Grand Angoulême;21.8;1346;200070514;21100;7.3
200071843;CC du Vexin Normand;17.7;296;null;21350;4.1
200071850;CC du Pithiverais-Gâtinais;20.4;194;200066280;21510;3.3
200071868;CC des Vallées du Haut-Anjou;15.9;271;244900015;20820;4.9
200071876;CA Saumur Val de Loire;22.7;703;244900015;20110;4.8
200071884;CC Le Grand Charolais;27.3;248;null;20180;4
200071892;CA du Saint-Quentinois;20.6;595;240200493;18790;5.4
200071900;CC Vendée Grand Littoral;31.3;356;200071165;21560;3.5
200071918;CC du Pays de Saint-Fulgent - Les Essarts;15.9;169;200070233;21360;3.3
200071926;CC du Limouxin;27.8;297;200035715;19100;5.3
200071934;CC Pays de Fontenay-Vendée;25.1;212;null;20180;3.9
200071942;CC Haut Limousin en Marche;33.9;208;null;18670;3.4
200071967;CC Pays d'Évian Vallée d'Abondance;16.9;501;200067551;27820;8.7
200071983;CC Thiérache Sambre et Oise;20.8;50;null;18120;1.9
200071991;CC Retz-en-Valois;17.2;180;240200477;21300;4.5
200072007;CC de la Montagne d'Ardèche;32.1;25;null;18080;3.1
200072015;CA Annonay Rhône Agglo;21.8;426;200040491;21300;5.1
200072023;CC Cœur de Charente;26.6;168;200071827;20120;3.6
200072031;CA de la Région de Château-Thierry;19.5;397;200067213;20670;4.1
200072049;CC de Charente Limousine;29.5;338;null;18940;3.1
200072056;CC Porte du Jura;25.2;75;null;21020;3.7
200072064;CC Val-de-Cher-Controis;27.5;386;200030385;20860;3.6
200072072;CA Territoires Vendômois;25.8;318;243700754;21300;5.7
200072080;CC du Pays de Saint-Éloy;29.3;116;null;19140;3.3
200072098;CC Combrailles Sioule et Morge;20.2;146;null;22250;5.7
200072106;CC Adour Madiran;27;236;200069300;20060;4.6
200072130;CA du Pays de Meaux;12.7;1569;200054781;22030;6.5
200072304;CC Vallée de l'Ubaye - Serre-Ponçon;24.6;115;null;20260;7.6
200072312;CA Seine Normandie Agglomération;19;761;200089456;22500;7.9
200072320;CC Val de Gers;27.3;107;null;20400;4.9
200072346;CA du Pays de Fontainebleau;21.2;1044;200054781;27270;17.7
200072452;CA Fougères Agglomération;22.2;352;243500139;20510;4.6
200072460;CA de Béthune-Bruay, Artois-Lys Romane;18.1;1660;200093201;19030;3.9
200072478;CC Pays d'Opale;16.2;155;200090751;19740;3.6
200072544;CC des Deux Morin;17.6;253;200090504;22190;4
200072635;CC Pyrénées Haut Garonnaises;31.5;150;200072643;20380;5.7
200072643;CC Cœur et Coteaux du Comminges;29;432;null;19900;5.2
200072650;CC Touraine Vallée de l'Indre;17.9;438;243700754;23090;6.8
200072668;CC Touraine Val de Vienne;26.6;156;null;19990;3.3
200072676;CC Maine Saosnois;24.6;133;247200132;19900;2.9
200072684;CC Le Gesnois Bilurien;18.9;176;247200132;21610;3.4
200072692;CC des Vallées de la Braye et de l'Anille;27.4;61;null;20700;2.2
200072700;CC Haute Sarthe Alpes Mancelles;22.5;112;246100663;20440;3
200072718;CC de la Champagne Conlinoise et du Pays de Sillé;19.9;108;null;20940;4.1
200072726;CC Châteaubriant-Derval;20.4;289;244400404;19660;3.7
200072734;CC Estuaire et Sillon;14.6;318;244400404;23350;7.8
200072825;CC Mirebellois et Fontenois;18.9;108;242100410;23210;5.8
200072874;CC Val Briard;13.5;337;null;25770;5.6
200072882;CC de Vie et Boulogne;15.5;331;248500589;21480;4.1
200072981;CC Touraine Ouest Val de Loire;21.3;245;243700754;21010;4.4
200072999;CC du Grand Langres;23.4;150;null;21040;4.5
200073013;CC Carnelle Pays-De-France;16.7;406;200056380;26900;8.5
200073096;CA Arche Agglo;19.8;575;200068781;21810;6
200073104;CC de l'Île-Rousse - Balagne;26.4;138;null;19230;8.2
200073112;CC Sud Sarthe;25.4;118;247200132;20100;2.8
200073120;CC Nebbiu - Conca d'Oro;27.8;96;null;20250;6.3
200073138;CC Pasquale Paoli;32.2;57;null;19450;7.2
200073146;CC Cagire Garonne Salat;28.3;165;200072643;20570;5.2
200073161;CC Touraine-Est Vallées;19;347;243700754;23520;8.2
200073237;CC de Gâtine et Choisilles - Pays de Racan;16.5;162;243700754;22800;6.3
200073245;CC du Bassin d'Aubenas;26;479;200039824;20080;5.9
200073252;CC de la Castagniccia-Casinca;23.8;165;null;18640;5.1
200073260;CC Sud Vendée Littoral;27;391;200071934;20450;3.2
200073344;CA Rambouillet Territoires;18.8;903;200054781;28240;16.7
200073393;CC des Rives du Haut-Allier;29.6;93;null;19130;3.6
200073401;CC Mézenc-Loire-Meygal;24.7;88;null;20690;4.3
200073419;CA du Puy-en-Velay;24;691;246300701;20740;5.4
200073427;CC Marches du Velay-Rochebaron;19.5;249;244200770;21930;4.5
200077014;CA Vienne Condrieu;19.2;1222;200046977;23160;8.5
200083392;CA Laval Agglomération;19.2;1294;243500139;21680;7.2
200084952;CU Le Havre Seine Métropole;19.3;2397;200010700;21100;6.9
200085728;CC Brioude Sud Auvergne;24.7;136;null;20300;4.8
200085751;CC d'Entre Bièvre et Rhône;19.2;718;200040491;21800;4.2
200089456;CA Seine-Eure;15.9;769;200023414;21780;6
200090504;CA Coulommiers Pays de Brie;15.9;1050;200054781;23540;5.9
200090561;CC Vierzon-Sologne-Berry;26.7;292;241800507;19290;3.4
200090579;CC Terre d'Émeraude Communauté;22.4;216;null;21310;3.8
200090751;CA Grand Calais Terres et Mers;16;716;200072478;18290;4.1
200093201;Métropole Européenne de Lille;14.6;16678;200054781;20730;13.6
240100610;CC de la Côtière à Montluel;14.5;271;240100883;24170;8
240100750;CA du Pays de Gex;11.4;921;200046977;35820;22.9
240100800;CC de Miribel et du Plateau;16.6;339;200046977;26030;12.6
240100883;CC de la Plaine de l'Ain;16.4;819;200046977;23010;6.1
240100891;CC du Pays Bellegardien (CCPB);16.4;198;240100750;23330;5.5
240200444;CC de la Thiérache du Centre;20.7;101;null;18950;2.6
240200469;CC du Pays de la Serre;19.3;56;null;19660;2.7
240200477;CA GrandSoissons Agglomération;21.6;378;240200501;19230;4.9
240200493;CC du Pays du Vermandois;19.3;153;200071892;19430;3.1
240200501;CC du Val de l'Aisne;18;107;240200477;21040;3.7
240200519;CC du Canton d'Oulchy-le-Château;16.9;38;null;21240;4.3
240200576;CC de la Champagne Picarde;17;116;200067213;20920;3.6
240200584;CC du Canton de Charly-sur-Marne;18.8;118;200072031;21690;3.9
240200592;CC du Chemin des Dames;18.6;33;null;20990;3.9
240200600;CC des Trois Rivières;21;88;null;17550;2.3
240200634;CC des Portes de la Thiérache;22.7;37;null;17970;2.6
240300491;CC du Pays de Lapalisse;26.6;51;null;19600;2.6
240300558;CC du Pays de Tronçais;33;57;null;19290;4.2
240300566;CC du Val de Cher;24.8;36;null;20530;3
240300657;CC du Pays d'Huriel;23.5;39;null;20370;3.4
240400440;CC Pays Forcalquier et Montagne de Lure;28.6;130;null;19920;9.6
240500439;CC du Briançonnais;21.3;301;null;20820;8.5
240500462;CC du Pays des Ecrins;21;93;null;20470;7.3
240600551;CA de la Riviera Française;24.3;1097;200030195;22110;7
240600585;CA de Sophia Antipolis;23.5;3971;200030195;24160;16
240600593;CC du Pays des Paillons;22;308;200030195;22740;5.6
240700302;CC du Pays Beaume-Drobie;30.1;114;null;19340;6.2
240700617;CC Val de Ligne;28.2;79;null;19140;4.9
240700716;CC du Val d'Ay;23.1;30;null;20910;4.1
240700815;CC Berg et Coiron;21.7;67;null;20510;6
240700864;CC du Rhône aux Gorges de l'Ardèche;22.2;170;null;20610;5.4
240800821;CC Ardenne, Rives de Meuse;20.8;164;200041630;18750;3.1
240800847;CC des Portes du Luxembourg;20.4;133;200041630;19550;2.4
240800862;CC des Crêtes Préardennaises;19.8;123;200041630;20610;3.6
240800920;CC de l'Argonne Ardennaise;25.1;142;null;19740;3.1
240900431;CC du Pays de Tarascon;29.1;79;null;19650;4.7
240900464;CC du Pays d'Olmes;31.3;159;null;18460;3
241000223;CC Forêts, Lacs, Terres en Champagne;18.3;54;null;22190;4.6
241000405;CC de la Région de Bar-sur-Aube;26.5;35;200069250;20530;3.7
