Insee - Statistiques locales; ; ; ; ; ; 
Référentiel géographique : France par intercommunalité; ; ; ; ; ; 
Code;Libellé;Part des pers. âgées de 65 ans ou + 2017;Nb créations d'entreprises 2020;Flux principal de migration résidentielle 2017;Médiane du niveau de vie 2018;Part des diplômés d'un BAC+5 ou plus dans la pop. non scolarisée de 15 ans ou + 2017
200034726;CC Bastides de Lomagne;24.8;95;null;21410;7.5
200034825;CA du Grand Guéret;23.9;176;null;21080;5.1
200034833;CC des Bastides Dordogne-Périgord;32.6;183;null;20070;4.7
200034874;CC Côtes de Meuse Woëvre;18.3;51;null;21010;4.1
200034882;CC Pays du Mont-Blanc;19.9;695;200033116;23940;7.4
200034957;CC du Frontonnais;14.5;357;243100518;23990;9.5
200035087;CA Terre de Provence;20.2;819;248400251;21130;6.5
200035103;CC de la Vallée de la Haute-Sarthe;22.7;44;null;20500;4.2
200035111;CC des Sources de l'Orne;23.7;69;null;20090;4
200035129;CC de Cèze Cévennes;30.7;189;200066918;17920;3.5
200035137;CC Marche Occitane - Val d'Anglin;33.3;55;null;18710;3.4
200035202;CC Charlieu-Belmont;23.7;181;200035731;20980;3.7
200035319;CA Var Estérel Méditerranée (Cavem);31.1;2148;248300493;22000;7.2
200035327;CC Cazals-Salviac;33.8;74;null;19210;5
200035442;CC du Sud-Artois;18.5;150;200033579;20120;3.4
200035459;CA d'Agen;21;1092;243300316;20990;6.9
200035533;CC du Grand Saint-Émilionnais;21.5;154;200070092;21550;6
200035541;CC des Landes d'Armagnac;29.9;77;null;20290;3.6
200035632;CC Armagnac Adour;30.1;58;null;19630;4
200035707;CC Piège Lauragais Malepère;24.2;135;200035715;19700;6
200035715;CA Carcassonne Agglo;23.3;1178;243100518;19280;6.4
200035723;CC Ventoux Sud;21.9;108;null;19610;6.2
200035731;CA Roannais Agglomération;25.9;1043;200046977;20570;4.9
200035756;CC Astarac Arros en Gascogne;28.1;59;null;20270;4.5
200035764;CC de la Beauce Loirétaine;16;104;244500468;22990;3.8
200035772;CC du Pays du Saintois;18.3;100;null;22810;5.8
200035814;CA Flers Agglo;24.7;285;200065597;20040;3.9
